label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,universe,lookback,top_n,rebal,gate
mom[gate] big8 lb=63 top5 @ 21d,3835,22.88,42.84,-59.16,0.7,0.39,23.0,big8,63,5,21,True
mom[gate] big8 lb=252 top3 @ 5d,3835,22.8,45.25,-67.03,0.68,0.34,22.8,big8,252,3,5,True
mom[raw ] core6 lb=21 top3 @ 10d,3835,22.78,45.67,-79.35,0.68,0.29,22.7,core6,21,3,10,False
mom[raw ] big8 lb=252 top2 @ 10d,3835,22.7,50.19,-63.42,0.66,0.36,22.5,big8,252,2,10,False
mom[gate] all17 lb=252 top3 @ 5d,3835,22.69,48.11,-59.19,0.67,0.38,22.5,all17,252,3,5,True
mom[gate] big8 lb=63 top2 @ 5d,3835,22.66,47.56,-72.18,0.67,0.31,22.4,big8,63,2,5,True
mom[raw ] core6 lb=126 top1 @ 21d,3835,22.65,60.66,-69.96,0.64,0.32,22.4,core6,126,1,21,False
mom[gate] big8 lb=126 top2 @ 10d,3835,22.64,49.27,-64.66,0.66,0.35,22.3,big8,126,2,10,True
mom[gate] core6 lb=252 top3 @ 5d,3835,22.48,45.82,-69.1,0.67,0.33,21.9,core6,252,3,5,True
mom[raw ] all17 lb=252 top5 @ 10d,3835,22.35,40.62,-49.71,0.7,0.45,21.5,all17,252,5,10,False
mom[raw ] big8 lb=252 top1 @ 3d,3835,22.28,56.57,-70.31,0.64,0.32,21.3,big8,252,1,3,False
mom[raw ] core6 lb=252 top2 @ 21d,3835,22.27,51.88,-67.14,0.65,0.33,21.3,core6,252,2,21,False
mom[raw ] core6 lb=126 top2 @ 3d,3835,22.26,49.75,-75.85,0.66,0.29,21.3,core6,126,2,3,False
mom[gate] core6 lb=63 top2 @ 21d,3835,22.17,49.96,-67.84,0.65,0.33,21.1,core6,63,2,21,True
mom[gate] core6 lb=252 top2 @ 5d,3835,22.04,48.27,-67.57,0.66,0.33,20.7,core6,252,2,5,True
mom[raw ] all17 lb=252 top4 @ 10d,3835,21.98,43.16,-53.86,0.68,0.41,20.6,all17,252,4,10,False
mom[raw ] big8 lb=63 top3 @ 21d,3835,21.96,46.58,-75.5,0.66,0.29,20.5,big8,63,3,21,False
mom[gate] big8 lb=63 top4 @ 5d,3835,21.91,41.96,-71.01,0.68,0.31,20.4,big8,63,4,5,True
mom[gate] big8 lb=252 top4 @ 5d,3835,21.85,42.79,-65.92,0.68,0.33,20.2,big8,252,4,5,True
mom[gate] core6 lb=252 top3 @ 3d,3835,21.74,45.71,-64.72,0.66,0.34,20.0,core6,252,3,3,True
