label,is_n,is_cagr,is_vol,is_mdd,is_sharpe,is_cagr_mdd,is_navx,family,oos_n,oos_cagr,oos_vol,oos_mdd,oos_sharpe,oos_cagr_mdd,oos_navx
3sleeve 20/40/40 TQQQ/TMF/UGL,2012,13.68,21.59,-35.45,0.7,0.39,2.8,static,1823,17.36,29.9,-61.06,0.69,0.28,3.2
invvol-s big8 lb=21 tv=40%,2012,22.46,89.54,-85.51,0.69,0.26,5.0,invvol-scaled,1823,39.69,93.26,-85.75,0.84,0.46,11.2
invvol-s big8 lb=21 tv=25%,2012,25.28,56.13,-65.79,0.69,0.38,6.0,invvol-scaled,1823,37.11,58.29,-67.59,0.84,0.55,9.8
3sleeve 20/50/30 UPRO/TMF/UGL,2012,13.45,21.83,-31.43,0.69,0.43,2.7,static,1823,9.36,29.79,-65.12,0.45,0.14,1.9
mom core6 lb=252 top3,2012,21.13,39.86,-58.2,0.68,0.36,4.6,mom,1823,14.18,58.13,-70.46,0.52,0.2,2.6
UPRO/UGL 70/30,2012,17.98,31.58,-39.27,0.68,0.46,3.7,static,1823,34.51,43.55,-62.24,0.9,0.55,8.5
mom core6 lb=63 top3,2012,20.29,37.35,-49.68,0.68,0.41,4.4,mom,1823,23.32,54.88,-74.29,0.66,0.31,4.6
invvol all17 lb=126,2012,13.87,23.59,-32.07,0.67,0.43,2.8,invvol,1823,13.61,31.54,-51.48,0.56,0.26,2.5
invvol-s all17 lb=126 tv=80%,2012,7.1,117.52,-92.66,0.66,0.08,1.7,invvol-scaled,1823,-45.96,154.9,-99.97,0.52,-0.46,0.0
invvol-s all17 lb=21 tv=80%,2012,5.63,118.38,-94.77,0.66,0.06,1.5,invvol-scaled,1823,-29.13,151.44,-99.85,0.62,-0.29,0.1
invvol-s all17 lb=126 tv=60%,2012,6.62,114.18,-92.66,0.65,0.07,1.7,invvol-scaled,1823,-42.48,146.94,-99.95,0.51,-0.43,0.0
mom core6 lb=21 top4,2012,18.6,36.43,-42.21,0.65,0.44,3.9,mom,1823,40.94,53.35,-74.38,0.91,0.55,12.0
invvol-s all17 lb=126 tv=25%,2012,22.02,63.22,-78.37,0.64,0.28,4.9,invvol-scaled,1823,10.18,71.1,-87.96,0.51,0.12,2.0
invvol all17 lb=63,2012,13.18,23.96,-34.2,0.64,0.39,2.7,invvol,1823,14.37,31.24,-51.65,0.59,0.28,2.6
mom big8 lb=63 top3,2012,18.64,37.87,-59.35,0.64,0.31,3.9,mom,1823,25.07,53.15,-73.47,0.69,0.34,5.0
invvol-s all17 lb=126 tv=40%,2012,13.94,97.16,-90.77,0.64,0.15,2.8,invvol-scaled,1823,-13.18,113.75,-98.45,0.51,-0.13,0.4
invvol-s all17 lb=21 tv=60%,2012,4.01,115.36,-95.14,0.63,0.04,1.4,invvol-scaled,1823,-10.13,139.1,-98.94,0.67,-0.1,0.5
invvol-s all17 lb=63 tv=80%,2012,2.79,117.85,-93.72,0.63,0.03,1.2,invvol-scaled,1823,-41.4,153.38,-99.95,0.53,-0.41,0.0
invvol all17 lb=252,2012,11.61,21.11,-32.63,0.63,0.36,2.4,invvol,1823,10.64,31.27,-51.49,0.48,0.21,2.1
invvol all17 lb=21,2012,13.06,24.04,-34.97,0.63,0.37,2.7,invvol,1823,16.54,30.78,-49.85,0.65,0.33,3.0
invvol-s all17 lb=252 tv=60%,2012,10.1,104.0,-93.31,0.63,0.11,2.2,invvol-scaled,1823,-49.45,146.45,-99.96,0.41,-0.49,0.0
invvol-s all17 lb=252 tv=80%,2012,9.29,105.56,-93.31,0.63,0.1,2.0,invvol-scaled,1823,-49.91,154.9,-99.96,0.47,-0.5,0.0
UPRO/UGL 60/40,2012,14.96,28.63,-35.82,0.63,0.42,3.0,static,1823,35.56,39.32,-56.22,0.97,0.63,9.0
HFEA-Tech 10/90 TQQQ/TMF,2012,16.63,34.65,-45.67,0.62,0.36,3.4,static,1823,-11.42,43.23,-87.17,-0.06,-0.13,0.4
invvol-s all17 lb=63 tv=60%,2012,2.78,114.91,-93.66,0.62,0.03,1.2,invvol-scaled,1823,-35.89,145.75,-99.89,0.54,-0.36,0.0
3sleeve 20/40/40 UPRO/TMF/UGL,2012,11.23,20.89,-32.59,0.61,0.34,2.3,static,1823,14.51,28.26,-58.26,0.62,0.25,2.7
invvol-s all17 lb=252 tv=40%,2012,15.11,88.88,-89.9,0.61,0.17,3.1,invvol-scaled,1823,-26.5,111.39,-99.2,0.36,-0.27,0.1
3sleeve 10/80/10 TQQQ/TMF/UGL,2012,15.33,31.44,-42.91,0.61,0.36,3.1,static,1823,-6.23,39.52,-83.68,0.04,-0.07,0.6
invvol-s all17 lb=252 tv=25%,2012,20.25,57.23,-75.33,0.61,0.27,4.4,invvol-scaled,1823,-0.74,69.62,-89.25,0.36,-0.01,0.9
mom big8 lb=252 top1,2012,19.47,51.4,-69.34,0.61,0.28,4.1,mom,1823,18.2,63.87,-59.34,0.59,0.31,3.4
invvol mix5 lb=21,2012,11.28,21.76,-38.51,0.6,0.29,2.3,invvol,1823,19.43,29.32,-46.16,0.75,0.42,3.6
3sleeve 10/70/20 TQQQ/TMF/UGL,2012,13.81,28.61,-40.19,0.6,0.34,2.8,static,1823,-1.01,36.2,-79.48,0.15,-0.01,0.9
3sleeve 20/30/50 TQQQ/TMF/UGL,2012,11.23,21.59,-37.96,0.6,0.3,2.3,static,1823,22.55,29.29,-56.29,0.84,0.4,4.4
3sleeve 40/10/50 UPRO/TMF/UGL,2012,11.3,22.59,-27.68,0.59,0.41,2.4,static,1823,31.16,31.27,-44.95,1.02,0.69,7.1
HFEA 10/90 UPRO/TMF,2012,15.35,34.47,-45.29,0.59,0.34,3.1,static,1823,-12.55,42.77,-87.17,-0.1,-0.14,0.4
invvol-s all17 lb=21 tv=40%,2012,7.44,100.98,-93.08,0.59,0.08,1.8,invvol-scaled,1823,16.71,111.68,-92.14,0.72,0.18,3.1
3sleeve 30/20/50 UPRO/TMF/UGL,2012,10.34,20.56,-30.83,0.58,0.34,2.2,static,1823,25.64,28.39,-47.39,0.95,0.54,5.2
3sleeve 10/80/10 UPRO/TMF/UGL,2012,14.07,31.25,-42.5,0.58,0.33,2.9,static,1823,-7.43,39.03,-83.67,-0.0,-0.09,0.6
invvol mix5 lb=63,2012,10.69,21.54,-35.18,0.58,0.3,2.2,invvol,1823,18.07,29.49,-47.09,0.71,0.38,3.3
invvol-s all17 lb=63 tv=25%,2012,17.72,65.49,-79.15,0.58,0.22,3.7,invvol-scaled,1823,14.6,71.5,-85.7,0.56,0.17,2.7
100% FAS,2012,17.75,52.2,-72.71,0.58,0.24,3.7,static,1823,17.03,67.45,-85.99,0.58,0.2,3.1
invvol-s all17 lb=63 tv=40%,2012,6.45,98.97,-89.33,0.57,0.07,1.6,invvol-scaled,1823,-4.18,113.38,-97.43,0.57,-0.04,0.7
mom all17 lb=126 top5,2012,15.05,36.89,-47.37,0.57,0.32,3.1,mom,1823,13.73,49.31,-61.06,0.51,0.22,2.5
invvol mix5 lb=126,2012,10.25,21.14,-35.92,0.57,0.29,2.2,invvol,1823,17.64,29.4,-46.1,0.7,0.38,3.2
invvol-s all17 lb=21 tv=25%,2012,15.63,70.24,-81.79,0.57,0.19,3.2,invvol-scaled,1823,27.06,72.46,-76.03,0.7,0.36,5.7
3sleeve 10/60/30 TQQQ/TMF/UGL,2012,12.08,26.3,-39.05,0.57,0.31,2.5,static,1823,4.2,33.38,-74.42,0.29,0.06,1.3
mom big8 lb=252 top3,2012,15.4,39.75,-58.85,0.56,0.26,3.1,mom,1823,15.74,55.96,-65.1,0.54,0.24,2.9
3sleeve 10/70/20 UPRO/TMF/UGL,2012,12.56,28.43,-39.84,0.56,0.32,2.6,static,1823,-2.28,35.69,-79.49,0.11,-0.03,0.8
3sleeve 30/10/60 TQQQ/TMF/UGL,2012,10.98,23.84,-39.12,0.56,0.28,2.3,static,1823,35.17,32.47,-50.98,1.09,0.69,8.8
UPRO/UGL 50/50,2012,11.69,26.48,-32.37,0.55,0.36,2.4,static,1823,36.01,35.79,-49.92,1.04,0.72,9.3
mom core6 lb=252 top2,2012,14.96,43.78,-59.29,0.54,0.25,3.0,mom,1823,17.24,57.14,-67.85,0.57,0.25,3.2
invvol-s mix5 lb=21 tv=80%,2012,3.83,96.85,-95.48,0.54,0.04,1.3,invvol-scaled,1823,32.86,115.03,-91.17,0.84,0.36,7.8
invvol-s mix5 lb=126 tv=60%,2012,10.82,73.85,-85.33,0.52,0.13,2.3,invvol-scaled,1823,21.06,86.2,-91.54,0.67,0.23,4.0
3sleeve 10/60/30 UPRO/TMF/UGL,2012,10.83,26.12,-39.18,0.52,0.28,2.3,static,1823,2.87,32.84,-74.43,0.25,0.04,1.2
mom big8 lb=21 top5,2012,13.09,37.6,-45.31,0.52,0.29,2.7,mom,1823,34.82,51.57,-71.95,0.84,0.48,8.7
mom core6 lb=63 top2,2012,13.57,41.45,-67.58,0.52,0.2,2.8,mom,1823,20.45,57.0,-70.18,0.61,0.29,3.8
mom all17 lb=126 top4,2012,13.64,39.02,-52.08,0.52,0.26,2.8,mom,1823,3.81,55.14,-70.32,0.35,0.05,1.3
invvol-s mix5 lb=21 tv=60%,2012,8.33,81.26,-91.33,0.52,0.09,1.9,invvol-scaled,1823,40.26,90.67,-82.0,0.84,0.49,11.6
3sleeve 10/50/40 TQQQ/TMF/UGL,2012,10.13,24.64,-40.21,0.52,0.25,2.2,static,1823,9.39,31.2,-68.94,0.44,0.14,1.9
invvol-s mix5 lb=63 tv=40%,2012,13.44,51.71,-69.69,0.51,0.19,2.7,invvol-scaled,1823,25.62,59.59,-78.17,0.69,0.33,5.2
invvol-s mix5 lb=63 tv=25%,2012,11.74,32.32,-50.22,0.51,0.23,2.4,invvol-scaled,1823,20.42,37.24,-58.79,0.69,0.35,3.8
invvol-s mix5 lb=21 tv=25%,2012,12.35,35.0,-60.37,0.51,0.2,2.5,invvol-scaled,1823,27.08,38.16,-46.21,0.82,0.59,5.7
invvol-s mix5 lb=126 tv=25%,2012,11.69,30.86,-49.39,0.51,0.24,2.4,invvol-scaled,1823,19.34,35.92,-57.47,0.67,0.34,3.6
3sleeve 20/30/50 UPRO/TMF/UGL,2012,8.82,20.94,-35.09,0.51,0.25,2.0,static,1823,19.56,27.66,-52.27,0.78,0.37,3.6
invvol-s mix5 lb=126 tv=40%,2012,13.9,49.37,-68.93,0.51,0.2,2.8,invvol-scaled,1823,24.36,57.47,-77.12,0.67,0.32,4.8
invvol-s mix5 lb=21 tv=40%,2012,13.38,55.99,-79.37,0.51,0.17,2.7,invvol-scaled,1823,36.6,61.06,-65.23,0.82,0.56,9.5
invvol-s mix5 lb=126 tv=80%,2012,3.59,92.06,-92.5,0.51,0.04,1.3,invvol-scaled,1823,5.69,114.86,-97.63,0.67,0.06,1.5
100% TYD,2012,8.22,19.95,-28.01,0.5,0.29,1.9,static,1823,-5.11,21.94,-64.28,-0.13,-0.08,0.7
mom core6 lb=252 top1,2012,13.03,51.42,-69.34,0.5,0.19,2.7,mom,1823,20.86,65.11,-68.13,0.62,0.31,3.9
mom big8 lb=21 top4,2012,12.38,37.44,-48.63,0.5,0.25,2.5,mom,1823,29.19,51.35,-72.97,0.76,0.4,6.4
invvol-s mix5 lb=63 tv=60%,2012,8.24,76.93,-85.89,0.5,0.1,1.9,invvol-scaled,1823,21.93,89.38,-92.0,0.69,0.24,4.2
EW-ALL 17 LETFs,2012,11.47,31.84,-44.58,0.5,0.26,2.4,static,1823,24.69,40.81,-62.15,0.75,0.4,4.9
mom core6 lb=21 top3,2012,11.59,36.13,-49.51,0.49,0.23,2.4,mom,1823,34.57,54.05,-78.25,0.82,0.44,8.6
invvol-s mix5 lb=63 tv=80%,2012,0.01,94.6,-92.79,0.49,0.0,1.0,invvol-scaled,1823,9.32,116.49,-97.21,0.7,0.1,1.9
100% UBT,2012,9.79,27.01,-38.31,0.48,0.26,2.1,static,1823,-9.42,31.93,-78.9,-0.15,-0.12,0.5
3sleeve 20/20/60 TQQQ/TMF/UGL,2012,8.59,22.56,-41.29,0.48,0.21,1.9,static,1823,27.62,29.62,-51.2,0.97,0.54,5.8
100% TMF,2012,11.39,40.33,-53.33,0.47,0.21,2.4,static,1823,-18.89,47.99,-92.46,-0.2,-0.2,0.2
100% DRN,2012,11.63,51.27,-60.01,0.47,0.19,2.4,static,1823,-4.23,66.29,-86.32,0.28,-0.05,0.7
theme4 UPRO/TQQQ/TMF/NUGT 25/25/25/25,2012,11.11,37.41,-47.81,0.47,0.23,2.3,static,1823,28.95,43.94,-65.67,0.8,0.44,6.3
3sleeve 10/50/40 UPRO/TMF/UGL,2012,8.9,24.46,-40.0,0.47,0.22,2.0,static,1823,7.98,30.65,-68.95,0.4,0.12,1.7
mom big8 lb=21 top3,2012,10.75,37.34,-51.87,0.46,0.21,2.3,mom,1823,22.96,51.46,-80.58,0.66,0.28,4.5
mom big8 lb=252 top2,2012,10.62,43.79,-60.45,0.45,0.18,2.2,mom,1823,18.99,55.71,-62.55,0.59,0.3,3.5
mom big8 lb=63 top2,2012,10.31,42.22,-69.91,0.45,0.15,2.2,mom,1823,18.22,55.27,-71.25,0.58,0.26,3.4
3sleeve 10/40/50 TQQQ/TMF/UGL,2012,7.98,23.77,-42.19,0.44,0.19,1.8,static,1823,14.51,29.8,-63.06,0.6,0.23,2.7
UPRO/UGL 40/60,2012,8.18,25.33,-30.96,0.44,0.26,1.9,static,1823,35.87,33.18,-44.01,1.09,0.82,9.2
3sleeve 30/10/60 UPRO/TMF/UGL,2012,7.48,22.6,-34.76,0.43,0.22,1.8,static,1823,30.49,29.63,-42.04,1.05,0.73,6.9
theme4 UPRO/TQQQ/UBT/NUGT 25/25/25/25,2012,9.51,37.31,-46.55,0.43,0.2,2.1,static,1823,31.11,42.81,-61.76,0.85,0.5,7.1
mom all17 lb=252 top5,2012,9.33,36.05,-59.76,0.43,0.16,2.0,mom,1823,21.32,46.04,-53.7,0.65,0.4,4.0
theme4 UPRO/TECL/TMF/NUGT 25/25/25/25,2012,9.56,37.38,-49.34,0.43,0.19,2.1,static,1823,31.0,45.14,-64.51,0.83,0.48,7.1
mom all17 lb=126 top3,2012,9.69,43.39,-63.93,0.43,0.15,2.1,mom,1823,-0.25,61.53,-78.23,0.31,-0.0,1.0
invvol-s mix5 lb=252 tv=60%,2012,4.86,68.24,-85.89,0.42,0.06,1.5,invvol-scaled,1823,5.74,84.2,-92.42,0.51,0.06,1.5
theme4 SSO/TQQQ/TMF/NUGT 25/25/25/25,2012,8.99,35.43,-49.01,0.42,0.18,2.0,static,1823,26.78,40.26,-62.86,0.79,0.43,5.6
invvol-s mix5 lb=252 tv=25%,2012,8.12,28.46,-50.09,0.42,0.16,1.9,invvol-scaled,1823,12.44,35.08,-58.79,0.51,0.21,2.3
invvol-s mix5 lb=252 tv=40%,2012,8.89,45.53,-69.7,0.42,0.13,2.0,invvol-scaled,1823,13.34,56.14,-78.42,0.51,0.17,2.5
invvol mix5 lb=252,2012,6.54,19.51,-36.87,0.42,0.18,1.7,invvol,1823,14.13,29.19,-46.54,0.6,0.3,2.6
invvol-s mix5 lb=252 tv=80%,2012,-2.65,86.01,-93.31,0.41,-0.03,0.8,invvol-scaled,1823,-11.31,112.27,-98.27,0.51,-0.12,0.4
3sleeve 10/40/50 UPRO/TMF/UGL,2012,6.78,23.61,-42.0,0.4,0.16,1.7,static,1823,13.03,29.24,-62.88,0.57,0.21,2.4
theme4 UPRO/QLD/TMF/NUGT 25/25/25/25,2012,8.07,35.09,-47.89,0.4,0.17,1.9,static,1823,25.75,39.54,-60.7,0.78,0.42,5.2
theme4 UPRO/TQQQ/TYD/NUGT 25/25/25/25,2012,8.48,37.76,-45.9,0.4,0.18,1.9,static,1823,31.8,42.72,-59.97,0.86,0.53,7.4
3sleeve 20/20/60 UPRO/TMF/UGL,2012,6.24,21.98,-38.54,0.39,0.16,1.6,static,1823,24.49,28.05,-46.61,0.92,0.53,4.9
theme4 UPRO/TECL/UBT/NUGT 25/25/25/25,2012,7.99,37.27,-48.11,0.39,0.17,1.8,static,1823,33.17,44.08,-60.51,0.87,0.55,7.9
theme4 SSO/TQQQ/UBT/NUGT 25/25/25/25,2012,7.48,35.16,-47.76,0.38,0.16,1.8,static,1823,28.93,38.97,-58.45,0.85,0.49,6.3
theme4 SSO/TECL/TMF/NUGT 25/25/25/25,2012,7.47,35.41,-50.51,0.38,0.15,1.8,static,1823,28.89,41.38,-61.17,0.82,0.47,6.3
mom all17 lb=63 top5,2012,6.92,37.08,-65.62,0.37,0.11,1.7,mom,1823,17.12,46.86,-65.01,0.57,0.26,3.1
theme4 UPRO/TECL/TYD/NUGT 25/25/25/25,2012,6.97,37.73,-48.67,0.37,0.14,1.7,static,1823,33.84,44.04,-58.98,0.88,0.57,8.2
mom all17 lb=63 top4,2012,6.58,39.4,-71.27,0.36,0.09,1.7,mom,1823,17.56,49.3,-70.65,0.58,0.25,3.2
theme4 SSO/TQQQ/TYD/NUGT 25/25/25/25,2012,6.53,35.5,-47.1,0.36,0.14,1.7,static,1823,29.64,38.8,-56.36,0.87,0.53,6.5
theme4 UPRO/QLD/UBT/NUGT 25/25/25/25,2012,6.58,34.82,-46.61,0.36,0.14,1.7,static,1823,27.87,38.26,-56.38,0.84,0.49,5.9
3sleeve 10/30/60 TQQQ/TMF/UGL,2012,5.65,23.78,-44.3,0.35,0.13,1.6,static,1823,19.54,29.29,-58.17,0.76,0.34,3.6
3sleeve 20/10/70 TQQQ/TMF/UGL,2012,5.8,24.38,-44.65,0.35,0.13,1.6,static,1823,32.52,30.85,-45.82,1.07,0.71,7.7
theme4 SSO/TECL/UBT/NUGT 25/25/25/25,2012,5.98,35.15,-50.41,0.34,0.12,1.6,static,1823,31.05,40.18,-56.81,0.88,0.55,7.1
mom all17 lb=126 top2,2012,4.35,49.81,-69.22,0.34,0.06,1.4,mom,1823,7.0,67.37,-76.5,0.45,0.09,1.6
theme4 SSO/QLD/TMF/NUGT 25/25/25/25,2012,5.86,33.39,-49.13,0.34,0.12,1.6,static,1823,23.31,36.14,-57.66,0.76,0.4,4.6
mom core6 lb=63 top1,2012,3.9,49.36,-71.69,0.33,0.05,1.4,mom,1823,8.52,70.0,-79.36,0.47,0.11,1.8
theme4 UPRO/QLD/TYD/NUGT 25/25/25/25,2012,5.63,35.17,-47.84,0.33,0.12,1.5,static,1823,28.57,38.11,-54.32,0.85,0.53,6.2
theme4 SSO/TECL/TYD/NUGT 25/25/25/25,2012,5.04,35.48,-51.63,0.32,0.1,1.5,static,1823,31.75,40.05,-54.64,0.89,0.58,7.4
mom all17 lb=252 top4,2012,4.45,37.9,-67.52,0.31,0.07,1.4,mom,1823,26.87,48.62,-48.98,0.74,0.55,5.6
UPRO/UGL 30/70,2012,4.48,25.32,-39.11,0.3,0.11,1.4,static,1823,35.14,31.71,-38.7,1.11,0.91,8.8
3sleeve 10/30/60 UPRO/TMF/UGL,2012,4.47,23.64,-44.11,0.3,0.1,1.4,static,1823,17.99,28.74,-56.59,0.72,0.32,3.3
theme4 SSO/QLD/UBT/NUGT 25/25/25/25,2012,4.46,32.95,-49.83,0.3,0.09,1.4,static,1823,25.41,34.67,-52.69,0.83,0.48,5.1
mom core6 lb=21 top2,2012,3.04,40.13,-59.74,0.28,0.05,1.3,mom,1823,31.68,57.19,-75.73,0.77,0.42,7.3
theme4 SSO/QLD/TYD/NUGT 25/25/25/25,2012,3.58,33.15,-51.0,0.27,0.07,1.3,static,1823,26.13,34.42,-50.41,0.85,0.52,5.4
mom all17 lb=252 top3,2012,2.49,41.18,-70.95,0.27,0.04,1.2,mom,1823,34.58,52.57,-48.71,0.83,0.71,8.6
3sleeve 20/10/70 UPRO/TMF/UGL,2012,3.49,23.88,-42.57,0.26,0.08,1.3,static,1823,29.26,29.38,-41.97,1.02,0.7,6.4
mom all17 lb=126 top1,2012,-5.18,67.37,-88.37,0.26,-0.06,0.7,mom,1823,-22.72,81.06,-95.32,0.1,-0.24,0.2
3sleeve 10/20/70 TQQQ/TMF/UGL,2012,3.15,24.66,-46.73,0.25,0.07,1.3,static,1823,24.45,29.71,-53.27,0.89,0.46,4.9
EW4 UPRO/TMF/UGL/UCO,2012,2.69,22.69,-53.25,0.23,0.05,1.2,static,1823,18.13,30.63,-51.8,0.7,0.35,3.3
mom all17 lb=252 top2,2012,-0.9,45.88,-84.78,0.21,-0.01,0.9,mom,1823,25.98,60.04,-54.6,0.69,0.48,5.3
3sleeve 10/20/70 UPRO/TMF/UGL,2012,1.99,24.55,-47.86,0.2,0.04,1.2,static,1823,22.82,29.19,-51.47,0.85,0.44,4.4
100% YINN,2012,-11.2,68.5,-86.99,0.17,-0.13,0.4,static,1823,-26.81,88.79,-97.68,0.09,-0.27,0.1
UPRO/UGL 20/80,2012,0.6,26.46,-50.9,0.16,0.01,1.0,static,1823,33.84,31.55,-38.49,1.08,0.88,8.2
3sleeve 10/10/80 TQQQ/TMF/UGL,2012,0.49,26.34,-53.97,0.15,0.01,1.0,static,1823,29.19,31.03,-48.17,0.98,0.61,6.4
mom all17 lb=63 top3,2012,-3.35,42.91,-77.33,0.14,-0.04,0.8,mom,1823,17.31,54.46,-77.77,0.57,0.22,3.2
mom big8 lb=21 top2,2012,-3.76,41.76,-63.47,0.12,-0.06,0.7,mom,1823,19.87,55.7,-81.88,0.61,0.24,3.7
3sleeve 10/10/80 UPRO/TMF/UGL,2012,-0.65,26.25,-56.22,0.11,-0.01,0.9,static,1823,27.5,30.56,-46.03,0.95,0.6,5.8
mom big8 lb=63 top1,2012,-8.06,48.75,-79.31,0.07,-0.1,0.5,mom,1823,13.33,69.03,-77.41,0.53,0.17,2.5
100% ERX,2012,-15.55,64.21,-90.34,0.06,-0.17,0.3,static,1823,-4.52,73.44,-97.59,0.34,-0.05,0.7
UPRO/UGL 10/90,2012,-3.43,28.6,-65.15,0.02,-0.05,0.8,static,1823,31.98,32.72,-40.31,1.01,0.79,7.4
mom all17 lb=63 top2,2012,-11.08,49.74,-85.75,0.02,-0.13,0.4,mom,1823,6.33,62.53,-85.5,0.41,0.07,1.6
100% EDC,2012,-16.77,62.47,-89.58,0.02,-0.19,0.2,static,1823,0.06,62.32,-83.61,0.32,0.0,1.0
mom all17 lb=63 top1,2012,-25.24,68.57,-95.54,-0.08,-0.26,0.1,mom,1823,-25.19,79.75,-96.82,0.04,-0.26,0.1
100% UGL,2012,-7.56,31.54,-75.93,-0.09,-0.1,0.5,static,1823,29.58,35.08,-46.23,0.92,0.64,6.5
mom all17 lb=21 top5,2012,-10.58,37.82,-70.84,-0.11,-0.15,0.4,mom,1823,27.56,44.55,-69.21,0.77,0.4,5.8
mom all17 lb=252 top1,2012,-23.93,58.89,-97.52,-0.16,-0.25,0.1,mom,1823,23.09,73.46,-59.34,0.66,0.39,4.5
mom all17 lb=21 top4,2012,-15.1,39.93,-83.09,-0.21,-0.18,0.3,mom,1823,21.82,47.95,-72.75,0.65,0.3,4.2
100% NUGT,2012,-56.96,108.94,-99.93,-0.22,-0.57,0.0,static,1823,13.03,86.48,-90.63,0.59,0.14,2.4
mom core6 lb=21 top1,2012,-22.14,50.63,-89.91,-0.24,-0.25,0.1,mom,1823,11.42,67.87,-88.82,0.5,0.13,2.2
mom all17 lb=21 top3,2012,-21.41,44.47,-88.96,-0.32,-0.24,0.1,mom,1823,15.16,53.02,-85.49,0.53,0.18,2.8
mom all17 lb=21 top2,2012,-29.33,52.31,-94.56,-0.4,-0.31,0.1,mom,1823,11.52,60.14,-89.94,0.49,0.13,2.2
100% UCO,2012,-36.57,60.39,-98.06,-0.45,-0.37,0.0,static,1823,-10.17,75.67,-98.15,0.27,-0.1,0.5
mom big8 lb=21 top1,2012,-29.94,50.4,-95.09,-0.45,-0.31,0.1,mom,1823,-4.55,68.06,-95.16,0.28,-0.05,0.7
mom all17 lb=21 top1,2012,-47.73,72.62,-99.75,-0.52,-0.48,0.0,mom,1823,9.59,75.62,-93.9,0.51,0.1,1.9
