lb_l,lb_s,tn,ov,dd_f,rb,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap
180,20,2,1.5,0.35,5,0.792,27.42,-43.4,0.455,16.73,-38.4,0.604,21.63,35.8,-48.2,5.7,0.337
180,20,2,1.5,0.35,10,0.829,28.77,-47.1,0.696,27.61,-36.6,0.751,28.14,37.5,-58.5,11.2,0.133
180,20,2,2.0,0.2,5,0.761,21.09,-39.0,-0.041,-0.94,-47.6,0.361,9.15,25.3,-59.2,2.0,0.802
180,20,2,2.0,0.2,10,1.227,33.63,-21.6,0.027,0.66,-49.5,0.607,15.76,26.0,-53.9,4.1,1.2000000000000002
180,20,2,2.0,0.25,5,0.87,28.23,-35.4,-0.014,-0.41,-55.8,0.418,12.71,30.4,-63.5,2.5,0.884
180,20,2,2.0,0.25,10,0.916,28.34,-31.7,0.303,9.76,-36.6,0.577,18.27,31.7,-51.7,4.6,0.613
180,20,2,2.0,0.3,5,0.758,27.87,-39.8,0.374,13.87,-34.7,0.549,20.28,36.9,-46.7,4.6,0.384
180,20,2,2.0,0.3,10,0.854,29.48,-40.5,0.493,19.63,-36.0,0.644,24.14,37.5,-53.6,7.0,0.361
180,20,2,2.0,0.35,5,0.727,29.34,-46.0,0.465,19.59,-38.9,0.582,24.06,41.3,-51.2,5.8,0.26199999999999996
180,20,2,2.0,0.35,10,0.853,33.24,-47.9,0.507,22.51,-44.8,0.653,27.42,42.0,-61.3,8.3,0.346
180,20,2,2.5,0.2,5,0.762,20.87,-38.0,-0.141,-3.48,-50.4,0.296,7.68,25.9,-58.9,1.6,0.903
180,20,2,2.5,0.2,10,0.938,24.56,-32.6,-0.151,-3.6,-53.4,0.373,9.3,24.9,-62.4,2.0,1.089
180,20,2,2.5,0.25,5,0.759,26.23,-47.3,-0.062,-1.79,-56.6,0.35,11.04,31.6,-69.1,1.9,0.821
180,20,2,2.5,0.25,10,1.197,40.96,-27.7,0.01,0.32,-58.6,0.585,18.93,32.4,-63.9,4.7,1.187
180,20,2,2.5,0.3,5,0.859,33.89,-44.6,-0.029,-1.0,-64.3,0.407,14.98,36.8,-73.2,2.5,0.888
180,20,2,2.5,0.3,10,0.989,37.76,-37.8,0.217,8.32,-50.9,0.569,21.81,38.3,-65.0,5.2,0.772
180,20,2,2.5,0.35,5,0.793,34.66,-47.3,0.299,12.73,-41.5,0.529,22.78,43.1,-58.8,4.5,0.49400000000000005
180,20,2,2.5,0.35,10,0.853,35.02,-46.5,0.481,22.46,-42.4,0.638,28.21,44.2,-60.9,8.1,0.372
180,20,2,3.0,0.2,5,0.87,26.44,-39.3,0.129,3.59,-57.2,0.483,14.06,29.1,-66.0,3.0,0.741
180,20,2,3.0,0.2,10,1.027,31.29,-33.2,-0.201,-5.13,-58.4,0.414,11.55,27.9,-66.2,2.4,1.228
180,20,2,3.0,0.25,5,0.722,24.29,-47.0,-0.156,-4.27,-58.4,0.29,8.81,30.4,-68.5,1.6,0.878
180,20,2,3.0,0.25,10,0.897,28.38,-40.9,-0.191,-5.55,-62.2,0.329,9.99,30.3,-72.3,1.8,1.088
180,20,2,3.0,0.3,5,0.756,31.34,-55.0,-0.072,-2.49,-64.2,0.343,13.01,37.9,-76.9,1.9,0.828
180,20,2,3.0,0.3,10,1.169,47.84,-33.9,0.0,0.01,-66.5,0.565,21.92,38.8,-72.5,5.0,1.169
180,20,2,3.0,0.35,5,0.845,39.23,-53.3,-0.039,-1.58,-71.0,0.396,17.11,43.2,-80.7,2.3,0.884
180,20,2,3.0,0.35,10,0.999,45.15,-44.0,0.24,10.87,-53.1,0.588,26.57,45.2,-69.3,6.3,0.759
180,20,3,1.5,0.2,5,0.673,14.61,-26.1,0.323,7.98,-31.8,0.472,11.02,23.4,-31.8,2.6,0.35000000000000003
180,20,3,1.5,0.2,10,0.929,19.92,-28.1,0.459,11.84,-32.7,0.65,15.54,23.9,-39.9,4.3,0.47000000000000003
180,20,3,1.5,0.25,5,0.583,14.01,-31.0,0.433,12.51,-38.7,0.493,13.2,26.8,-38.7,3.0,0.14999999999999997
180,20,3,1.5,0.25,10,0.611,13.98,-35.2,0.628,19.04,-38.6,0.616,16.72,27.2,-45.2,4.5,0.017000000000000015
180,20,3,1.5,0.3,5,0.532,13.67,-35.3,0.47,14.89,-41.8,0.493,14.33,29.1,-43.1,3.2,0.062000000000000055
180,20,3,1.5,0.3,10,0.615,15.7,-40.9,0.658,21.78,-42.2,0.636,18.99,29.9,-52.2,5.3,0.04300000000000004
180,20,3,1.5,0.35,5,0.546,14.88,-38.5,0.488,16.69,-43.7,0.508,15.86,31.2,-45.8,3.5,0.05800000000000005
180,20,3,1.5,0.35,10,0.608,16.76,-45.3,0.653,23.05,-43.3,0.63,20.17,32.0,-56.4,5.6,0.04500000000000004
180,20,3,2.0,0.2,5,0.631,14.84,-27.4,0.03,0.74,-45.2,0.298,7.2,24.2,-54.4,1.6,0.601
180,20,3,2.0,0.2,10,1.053,25.84,-26.4,0.184,4.63,-51.6,0.576,14.35,24.9,-57.0,3.6,0.869
180,20,3,2.0,0.25,5,0.659,18.4,-32.7,0.037,1.07,-48.3,0.318,9.01,28.3,-55.4,1.7,0.622
180,20,3,2.0,0.25,10,0.963,26.72,-34.8,0.344,10.9,-40.6,0.606,18.15,30.0,-56.6,4.8,0.619
180,20,3,2.0,0.3,5,0.606,18.54,-37.5,0.377,13.54,-46.4,0.471,15.83,33.6,-46.4,3.2,0.22899999999999998
180,20,3,2.0,0.3,10,0.753,22.25,-41.8,0.55,20.88,-46.3,0.626,21.51,34.4,-53.9,5.9,0.20299999999999996
180,20,3,2.0,0.35,5,0.553,18.06,-42.0,0.415,16.32,-50.5,0.47,17.12,36.4,-51.5,3.3,0.13800000000000007
180,20,3,2.0,0.35,10,0.61,19.25,-47.7,0.614,25.41,-51.2,0.607,22.59,37.2,-59.7,6.0,0.0040000000000000036
180,20,3,2.5,0.2,5,0.563,13.55,-29.8,0.026,0.6,-45.1,0.274,6.54,23.8,-52.8,1.5,0.5369999999999999
180,20,3,2.5,0.2,10,1.025,26.62,-20.2,0.143,3.81,-55.7,0.542,14.26,26.3,-55.7,3.4,0.8819999999999999
180,20,3,2.5,0.25,5,0.621,18.28,-34.4,0.015,0.45,-55.4,0.286,8.62,30.1,-65.3,1.6,0.606
180,20,3,2.5,0.25,10,1.039,31.89,-33.0,0.155,4.87,-60.9,0.554,17.24,31.1,-67.3,4.1,0.8839999999999999
180,20,3,2.5,0.3,5,0.645,21.96,-39.4,0.069,2.47,-59.0,0.327,11.4,34.9,-66.9,1.8,0.5760000000000001
180,20,3,2.5,0.3,10,0.962,32.73,-41.3,0.258,9.36,-55.6,0.569,20.06,35.3,-69.8,4.8,0.704
180,20,3,2.5,0.35,5,0.612,22.66,-44.2,0.313,13.31,-53.0,0.439,17.6,40.1,-53.0,2.9,0.299
180,20,3,2.5,0.35,10,0.815,29.47,-48.1,0.462,21.0,-53.3,0.601,24.88,41.4,-62.3,6.3,0.3529999999999999
180,20,3,3.0,0.2,5,0.785,19.93,-31.1,-0.235,-5.06,-45.7,0.273,6.39,23.4,-57.2,1.5,1.02
180,20,3,3.0,0.2,10,0.601,14.54,-44.8,0.387,10.09,-35.9,0.481,12.13,25.2,-49.5,2.8,0.21399999999999997
180,20,3,3.0,0.25,5,0.504,14.91,-40.2,0.01,0.29,-55.7,0.234,6.99,29.8,-67.0,1.3,0.494
180,20,3,3.0,0.25,10,1.041,33.34,-27.2,0.135,4.43,-64.8,0.544,17.67,32.5,-65.4,4.0,0.9059999999999999
180,20,3,3.0,0.3,5,0.615,21.79,-41.4,0.004,0.15,-64.4,0.278,10.06,36.2,-74.3,1.4,0.611
180,20,3,3.0,0.3,10,1.025,37.79,-39.5,0.131,4.95,-69.0,0.535,19.99,37.4,-75.8,4.2,0.8939999999999999
180,20,3,3.0,0.35,5,0.63,25.3,-46.3,0.06,2.49,-66.7,0.316,12.94,40.9,-75.3,1.6,0.5700000000000001
180,20,3,3.0,0.35,10,0.948,38.19,-47.7,0.238,9.97,-64.0,0.557,22.9,41.1,-77.7,5.0,0.71
180,20,4,1.5,0.2,5,0.64,12.74,-30.6,-0.034,-0.74,-42.9,0.259,5.44,21.0,-58.1,1.4,0.674
180,20,4,1.5,0.2,10,0.932,18.47,-27.4,0.391,9.3,-32.9,0.612,13.5,22.0,-45.0,3.6,0.541
180,20,4,1.5,0.25,5,0.618,13.64,-35.1,0.179,4.59,-42.2,0.363,8.74,24.1,-48.2,1.9,0.439
180,20,4,1.5,0.25,10,0.788,17.22,-34.0,0.571,16.41,-38.9,0.65,16.78,25.8,-46.0,4.7,0.21700000000000008
180,20,4,1.5,0.3,5,0.59,13.98,-38.6,0.253,7.17,-44.6,0.391,10.29,26.3,-49.0,2.2,0.33699999999999997
180,20,4,1.5,0.3,10,0.681,16.04,-39.2,0.598,18.66,-41.1,0.624,17.46,28.0,-51.4,4.7,0.08300000000000007
180,20,4,1.5,0.35,5,0.564,14.12,-41.6,0.276,8.48,-47.6,0.392,11.07,28.2,-52.2,2.2,0.2879999999999999
180,20,4,1.5,0.35,10,0.621,15.6,-43.0,0.598,19.88,-42.4,0.601,17.92,29.8,-55.1,4.7,0.02300000000000002
180,20,4,2.0,0.2,5,0.63,13.79,-31.8,-0.12,-2.89,-47.1,0.206,4.75,23.1,-62.4,1.3,0.75
180,20,4,2.0,0.2,10,0.976,22.33,-26.0,0.219,5.58,-51.3,0.545,13.26,24.3,-55.2,3.2,0.757
180,20,4,2.0,0.25,5,0.626,16.1,-38.5,-0.062,-1.77,-52.6,0.236,6.41,27.2,-68.9,1.3,0.688
180,20,4,2.0,0.25,10,0.935,23.99,-34.0,0.232,6.79,-51.6,0.53,14.67,27.7,-63.3,3.4,0.7030000000000001
180,20,4,2.0,0.3,5,0.615,17.27,-43.1,0.085,2.73,-53.1,0.309,9.39,30.4,-64.8,1.7,0.53
180,20,4,2.0,0.3,10,0.835,23.28,-40.6,0.513,18.53,-47.3,0.635,20.71,32.6,-54.2,5.8,0.32199999999999995
180,20,4,2.0,0.35,5,0.597,17.92,-46.7,0.211,7.42,-54.4,0.371,12.23,32.9,-60.9,2.1,0.386
180,20,4,2.0,0.35,10,0.738,22.05,-46.0,0.57,22.3,-49.8,0.631,22.18,35.2,-59.8,6.2,0.16800000000000004
180,20,4,2.5,0.2,5,0.599,13.02,-33.6,-0.023,-0.58,-53.1,0.241,5.65,23.4,-64.4,1.4,0.622
180,20,4,2.5,0.2,10,0.909,21.23,-30.3,0.236,6.29,-56.2,0.521,13.13,25.2,-58.4,3.1,0.673
180,20,4,2.5,0.25,5,0.621,16.99,-39.1,-0.141,-4.26,-57.1,0.189,5.48,28.9,-72.7,1.1,0.762
180,20,4,2.5,0.25,10,0.95,27.19,-32.7,0.2,6.35,-60.7,0.524,15.9,30.4,-65.6,3.6,0.75
180,20,4,2.5,0.3,5,0.617,19.38,-45.4,-0.088,-3.06,-61.5,0.217,7.22,33.3,-77.3,1.2,0.705
180,20,4,2.5,0.3,10,0.928,29.25,-40.4,0.197,7.05,-61.7,0.508,17.22,33.9,-72.8,3.6,0.7310000000000001
180,20,4,2.5,0.35,5,0.607,20.67,-50.4,-0.016,-0.62,-62.4,0.25,9.13,36.6,-78.6,1.3,0.623
180,20,4,2.5,0.35,10,0.855,28.99,-46.9,0.475,20.34,-54.3,0.623,24.3,39.0,-60.7,6.7,0.38
180,20,4,3.0,0.2,5,0.657,15.48,-36.6,-0.022,-0.5,-49.1,0.299,6.82,22.8,-62.3,1.6,0.679
180,20,4,3.0,0.2,10,0.859,21.29,-43.6,0.251,6.27,-46.0,0.529,13.15,24.9,-62.6,3.2,0.608
180,20,4,3.0,0.25,5,0.593,16.45,-39.0,-0.012,-0.34,-55.7,0.259,7.35,28.4,-69.4,1.4,0.605
180,20,4,3.0,0.25,10,0.887,26.23,-34.4,0.214,7.06,-65.3,0.504,15.84,31.5,-67.4,3.3,0.673
180,20,4,3.0,0.3,5,0.615,20.22,-46.0,-0.154,-5.59,-65.8,0.18,6.23,34.7,-80.6,1.0,0.769
180,20,4,3.0,0.3,10,0.924,31.81,-39.3,0.183,6.97,-68.9,0.503,18.35,36.5,-74.5,3.6,0.7410000000000001
180,20,4,3.0,0.35,5,0.609,22.55,-51.9,-0.106,-4.33,-69.0,0.204,7.98,39.2,-83.8,0.9,0.715
180,20,4,3.0,0.35,10,0.914,34.19,-46.6,0.178,7.52,-69.7,0.493,19.74,40.0,-80.1,3.6,0.736
180,40,2,1.5,0.2,5,1.185,31.26,-27.6,0.049,1.14,-45.5,0.602,14.93,24.8,-53.7,3.9,1.1360000000000001
180,40,2,1.5,0.2,10,1.313,36.01,-28.7,0.019,0.41,-44.0,0.684,16.72,24.4,-53.8,4.8,1.294
180,40,2,1.5,0.25,5,0.828,24.22,-34.3,0.306,8.82,-31.6,0.547,15.87,29.0,-40.0,3.8,0.522
180,40,2,1.5,0.25,10,1.012,31.14,-35.2,0.252,7.34,-43.6,0.61,18.24,29.9,-46.9,4.8,0.76
180,40,2,1.5,0.3,5,0.928,31.2,-39.4,0.144,4.33,-40.7,0.523,16.64,31.8,-51.5,3.8,0.784
180,40,2,1.5,0.3,10,1.103,38.38,-40.0,0.306,9.96,-47.0,0.684,22.98,33.6,-50.2,7.3,0.7969999999999999
180,40,2,1.5,0.35,5,0.979,36.07,-43.0,0.081,2.67,-52.9,0.518,17.97,34.7,-61.6,3.9,0.898
180,40,2,1.5,0.35,10,1.148,43.19,-44.3,0.266,9.31,-49.7,0.685,24.83,36.2,-54.9,8.1,0.8819999999999999
180,40,2,2.0,0.2,5,1.19,33.57,-28.0,-0.107,-2.46,-49.1,0.551,14.05,25.5,-59.5,3.4,1.297
180,40,2,2.0,0.2,10,1.364,39.85,-24.2,0.104,2.73,-39.3,0.714,19.73,27.6,-50.6,6.2,1.26
180,40,2,2.0,0.25,5,1.191,40.06,-34.2,0.032,0.95,-55.0,0.596,18.87,31.6,-64.2,4.9,1.159
180,40,2,2.0,0.25,10,1.323,46.14,-35.2,0.173,5.18,-50.7,0.74,23.94,32.3,-61.5,8.5,1.15
180,40,2,2.0,0.3,5,0.977,37.36,-41.7,0.254,9.03,-38.8,0.598,22.0,36.8,-48.6,5.6,0.723
180,40,2,2.0,0.3,10,1.155,45.8,-43.0,0.149,5.02,-56.2,0.648,23.7,36.6,-62.2,6.9,1.006
180,40,2,2.0,0.35,5,0.881,36.1,-47.2,0.273,10.64,-45.3,0.558,22.3,39.9,-52.5,5.1,0.608
180,40,2,2.0,0.35,10,1.054,45.18,-48.1,0.296,11.91,-55.5,0.655,27.15,41.4,-59.7,8.2,0.758
180,40,2,2.5,0.2,5,0.884,23.4,-37.6,-0.335,-7.83,-60.0,0.26,6.48,24.9,-68.2,1.5,1.219
180,40,2,2.5,0.2,10,1.048,28.92,-36.7,-0.286,-6.42,-54.6,0.392,9.77,25.0,-66.5,2.1,1.334
180,40,2,2.5,0.25,5,1.183,41.66,-34.8,-0.121,-3.52,-58.2,0.535,17.17,32.1,-69.4,3.9,1.304
180,40,2,2.5,0.25,10,1.354,49.39,-30.7,0.099,3.21,-49.4,0.707,24.36,34.5,-61.4,8.2,1.2550000000000001
180,40,2,2.5,0.3,5,1.203,48.86,-41.0,0.013,0.46,-63.6,0.593,22.63,38.1,-73.0,5.7,1.1900000000000002
180,40,2,2.5,0.3,10,1.337,56.42,-41.4,0.16,5.81,-59.1,0.74,28.99,39.2,-69.8,11.4,1.177
180,40,2,2.5,0.35,5,1.063,48.9,-48.0,0.176,7.28,-45.7,0.605,26.34,43.6,-61.9,6.6,0.887
180,40,2,2.5,0.35,10,1.208,57.61,-49.5,0.131,5.15,-65.2,0.673,29.18,43.4,-72.3,9.4,1.077
180,40,2,3.0,0.2,5,1.012,30.28,-37.9,0.058,1.6,-58.4,0.514,14.74,28.6,-64.0,3.3,0.954
180,40,2,3.0,0.2,10,1.163,36.78,-37.2,-0.279,-6.73,-58.8,0.474,13.2,27.8,-68.2,2.9,1.4420000000000002
180,40,2,3.0,0.25,5,0.841,27.19,-46.3,-0.305,-8.53,-65.6,0.261,7.83,30.1,-76.2,1.4,1.146
180,40,2,3.0,0.25,10,1.006,33.85,-45.4,-0.338,-9.22,-63.7,0.346,10.51,30.4,-76.9,1.9,1.344
180,40,2,3.0,0.3,5,1.177,49.63,-41.5,-0.126,-4.48,-66.0,0.524,20.3,38.8,-77.3,4.2,1.303
180,40,2,3.0,0.3,10,1.343,58.75,-37.1,0.096,3.73,-59.1,0.701,28.93,41.3,-70.6,10.2,1.2469999999999999
180,40,2,3.0,0.35,5,1.202,57.26,-47.6,-0.001,-0.04,-70.8,0.587,26.21,44.7,-80.2,6.2,1.2029999999999998
180,40,2,3.0,0.35,10,1.338,66.38,-47.5,0.117,4.85,-65.6,0.728,33.04,45.4,-76.5,13.2,1.221
180,40,3,1.5,0.2,5,1.332,31.34,-20.0,-0.098,-1.95,-43.6,0.613,13.3,21.7,-43.6,3.5,1.4300000000000002
180,40,3,1.5,0.2,10,1.364,32.94,-20.4,-0.052,-1.01,-46.1,0.669,14.54,21.7,-46.1,4.1,1.4160000000000001
180,40,3,1.5,0.25,5,1.294,33.28,-24.7,-0.063,-1.48,-48.6,0.586,14.44,24.6,-48.6,3.7,1.357
180,40,3,1.5,0.25,10,1.325,35.26,-24.6,0.001,0.02,-49.6,0.648,16.16,25.0,-49.6,4.5,1.324
180,40,3,1.5,0.3,5,1.193,32.98,-29.2,0.031,0.84,-45.3,0.563,15.57,27.7,-45.3,3.8,1.1620000000000001
180,40,3,1.5,0.3,10,1.16,32.74,-28.9,0.047,1.27,-46.2,0.571,15.68,27.4,-46.2,3.9,1.113
180,40,3,1.5,0.35,5,1.091,31.46,-33.2,0.086,2.7,-46.7,0.524,15.87,30.3,-46.7,3.6,1.005
180,40,3,1.5,0.35,10,1.192,35.72,-32.7,0.088,2.65,-48.0,0.591,17.8,30.1,-48.0,4.6,1.1039999999999999
180,40,3,2.0,0.2,5,1.22,33.51,-21.1,-0.134,-2.95,-47.7,0.557,13.75,24.7,-47.7,3.4,1.354
180,40,3,2.0,0.2,10,1.271,35.7,-21.7,0.039,0.88,-47.6,0.665,16.83,25.3,-47.6,4.8,1.232
180,40,3,2.0,0.25,5,1.309,39.96,-25.1,-0.12,-3.05,-52.0,0.598,16.65,27.9,-52.0,4.3,1.4289999999999998
180,40,3,2.0,0.25,10,1.342,42.11,-25.5,-0.051,-1.26,-55.8,0.664,18.61,28.0,-55.8,5.4,1.393
180,40,3,2.0,0.3,5,1.294,42.63,-29.8,-0.103,-2.98,-58.1,0.58,17.91,30.9,-58.1,4.5,1.397
180,40,3,2.0,0.3,10,1.328,45.01,-29.7,-0.017,-0.51,-58.1,0.648,20.34,31.4,-58.1,5.9,1.345
180,40,3,2.0,0.35,5,1.249,43.93,-34.3,-0.012,-0.39,-57.4,0.581,19.91,34.3,-57.4,5.0,1.2610000000000001
180,40,3,2.0,0.35,10,1.241,45.05,-34.2,0.023,0.76,-58.2,0.612,21.04,34.4,-58.2,5.7,1.2180000000000002
180,40,3,2.5,0.2,5,1.097,30.82,-24.8,-0.059,-1.33,-39.8,0.53,13.39,25.3,-39.8,3.2,1.156
180,40,3,2.5,0.2,10,1.221,35.89,-22.2,0.049,1.19,-47.6,0.639,17.09,26.7,-47.6,4.7,1.1720000000000002
180,40,3,2.5,0.25,5,1.214,41.47,-26.2,-0.155,-4.22,-56.9,0.545,16.71,30.7,-56.9,3.9,1.369
180,40,3,2.5,0.25,10,1.27,44.36,-26.8,0.024,0.67,-56.8,0.658,20.68,31.4,-56.8,6.0,1.246
180,40,3,2.5,0.3,5,1.287,48.19,-30.1,-0.14,-4.29,-60.6,0.581,19.75,34.0,-60.6,4.9,1.427
180,40,3,2.5,0.3,10,1.321,50.77,-30.6,-0.054,-1.64,-64.3,0.653,22.37,34.3,-64.3,6.6,1.375
180,40,3,2.5,0.35,5,1.285,51.45,-34.8,-0.133,-4.57,-65.5,0.569,21.09,37.1,-65.5,5.1,1.418
180,40,3,2.5,0.35,10,1.319,54.3,-34.7,-0.027,-0.93,-65.9,0.645,24.37,37.8,-65.9,7.1,1.3459999999999999
180,40,3,3.0,0.2,5,1.128,32.07,-22.9,-0.409,-9.24,-59.7,0.38,9.68,25.5,-60.0,2.1,1.537
180,40,3,3.0,0.2,10,0.878,22.83,-41.6,-0.031,-0.72,-46.8,0.413,10.07,24.4,-61.5,2.2,0.909
180,40,3,3.0,0.25,5,1.123,39.46,-27.9,-0.086,-2.39,-51.0,0.535,16.78,31.3,-51.0,3.9,1.209
180,40,3,3.0,0.25,10,1.252,45.39,-27.4,0.01,0.29,-58.9,0.64,20.95,32.7,-58.9,5.9,1.242
180,40,3,3.0,0.3,5,1.209,49.39,-31.1,-0.164,-5.35,-65.5,0.539,19.72,36.6,-65.5,4.4,1.373
180,40,3,3.0,0.3,10,1.27,52.97,-31.9,0.012,0.4,-64.9,0.652,24.48,37.5,-64.9,7.3,1.258
180,40,3,3.0,0.35,5,1.265,56.11,-34.9,-0.155,-5.6,-68.8,0.565,22.67,40.1,-68.8,5.2,1.42
180,40,3,3.0,0.35,10,1.302,59.16,-37.4,-0.058,-2.08,-71.6,0.641,25.97,40.5,-71.6,7.5,1.36
180,40,4,1.5,0.2,5,1.41,30.84,-20.1,-0.042,-0.8,-45.5,0.669,13.69,20.5,-45.5,3.8,1.452
180,40,4,1.5,0.2,10,1.496,32.73,-20.2,0.063,1.23,-47.1,0.76,15.66,20.6,-47.1,4.8,1.433
180,40,4,1.5,0.25,5,1.356,32.17,-25.2,0.006,0.14,-48.6,0.638,14.81,23.2,-48.6,4.0,1.35
180,40,4,1.5,0.25,10,1.448,34.52,-24.5,0.066,1.52,-50.6,0.714,16.63,23.3,-50.6,5.0,1.382
180,40,4,1.5,0.3,5,1.293,32.9,-29.8,0.044,1.13,-47.3,0.61,15.68,25.7,-47.3,4.1,1.2489999999999999
180,40,4,1.5,0.3,10,1.397,36.0,-28.6,0.068,1.71,-50.3,0.683,17.42,25.5,-50.3,5.1,1.329
180,40,4,1.5,0.35,5,1.236,33.23,-33.6,0.07,2.02,-45.9,0.584,16.31,27.9,-45.9,4.1,1.166
180,40,4,1.5,0.35,10,1.35,36.98,-32.1,0.082,2.29,-49.1,0.658,18.18,27.6,-49.1,5.2,1.268
180,40,4,2.0,0.2,5,1.371,35.86,-20.9,-0.018,-0.37,-47.0,0.695,16.23,23.3,-47.0,4.7,1.389
180,40,4,2.0,0.2,10,1.473,38.39,-21.3,0.054,1.13,-50.1,0.776,18.2,23.5,-50.1,5.9,1.419
180,40,4,2.0,0.25,5,1.394,39.8,-25.3,-0.072,-1.74,-56.6,0.658,17.29,26.3,-56.6,4.9,1.466
180,40,4,2.0,0.25,10,1.486,42.37,-25.3,0.048,1.19,-56.3,0.755,20.06,26.6,-56.3,6.7,1.438
180,40,4,2.0,0.3,5,1.359,41.44,-30.4,-0.016,-0.45,-58.5,0.642,18.74,29.2,-58.5,5.3,1.375
180,40,4,2.0,0.3,10,1.453,44.38,-29.6,0.067,1.9,-60.4,0.726,21.36,29.4,-60.4,7.1,1.3860000000000001
180,40,4,2.0,0.35,5,1.315,42.58,-35.2,0.024,0.76,-58.2,0.622,19.92,32.0,-58.2,5.4,1.291
180,40,4,2.0,0.35,10,1.415,46.16,-33.9,0.061,1.9,-60.7,0.696,22.17,31.9,-60.7,7.1,1.354
180,40,4,2.5,0.2,5,1.254,34.5,-24.1,0.114,2.46,-42.6,0.699,17.14,24.5,-42.6,5.1,1.14
180,40,4,2.5,0.2,10,1.347,37.16,-23.7,0.077,1.76,-49.8,0.714,17.98,25.2,-49.8,5.5,1.27
180,40,4,2.5,0.25,5,1.353,44.19,-25.9,-0.059,-1.51,-57.6,0.669,19.42,29.0,-57.6,5.7,1.412
180,40,4,2.5,0.25,10,1.457,47.41,-26.4,-0.008,-0.2,-61.3,0.742,21.6,29.1,-61.3,7.3,1.465
180,40,4,2.5,0.3,5,1.379,48.47,-30.5,-0.093,-2.7,-65.5,0.647,20.74,32.1,-65.5,6.0,1.472
180,40,4,2.5,0.3,10,1.474,51.67,-30.4,0.04,1.19,-64.4,0.748,24.31,32.5,-64.4,8.9,1.434
180,40,4,2.5,0.35,5,1.352,50.37,-35.7,-0.026,-0.85,-66.1,0.642,22.61,35.2,-66.1,6.5,1.3780000000000001
180,40,4,2.5,0.35,10,1.448,53.95,-34.6,0.069,2.36,-67.9,0.731,25.99,35.5,-67.9,9.5,1.379
180,40,4,3.0,0.2,5,1.158,32.49,-35.4,0.149,3.61,-42.7,0.645,16.84,26.1,-47.2,4.7,1.009
180,40,4,3.0,0.2,10,1.194,33.26,-37.4,0.086,2.14,-48.7,0.624,16.39,26.3,-56.3,4.4,1.1079999999999999
180,40,4,3.0,0.25,5,1.249,43.24,-26.2,-0.011,-0.3,-58.7,0.642,19.64,30.6,-58.7,5.5,1.26
180,40,4,3.0,0.25,10,1.339,46.49,-26.9,0.032,0.91,-60.6,0.697,21.79,31.2,-60.6,6.9,1.307
180,40,4,3.0,0.3,5,1.339,52.41,-30.8,-0.087,-2.65,-66.7,0.65,22.57,34.7,-66.7,6.6,1.426
180,40,4,3.0,0.3,10,1.444,56.27,-31.4,-0.043,-1.33,-70.3,0.719,25.06,34.8,-70.3,8.8,1.4869999999999999
180,40,4,3.0,0.35,5,1.363,56.84,-35.8,-0.097,-3.32,-72.4,0.639,24.24,37.9,-72.4,7.0,1.46
180,40,4,3.0,0.35,10,1.459,60.7,-35.3,0.033,1.17,-71.2,0.738,28.44,38.5,-71.2,11.1,1.4260000000000002
