label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
100% TECL + trend50d @ 3d,3835,13.12,43.09,-78.61,0.5,0.17,6.5
3sleeve 50/20/30 TQQQ/TMF/UGL + trend50d @ 5d,3835,12.72,22.47,-37.96,0.65,0.34,6.2
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend50d @ 10d,3835,12.28,17.28,-30.91,0.76,0.4,5.8
3sleeve 70/10/20 TQQQ/TMF/UGL + trend50d @ 3d,3835,12.18,28.69,-52.45,0.55,0.23,5.7
3sleeve 80/10/10 TQQQ/TMF/UGL + trend50d @ 3d,3835,12.02,32.23,-58.23,0.51,0.21,5.6
HFEA-Tech 80/20 TQQQ/TMF + trend50d @ 3d,3835,12.0,32.03,-58.82,0.52,0.2,5.6
3sleeve 70/10/20 TQQQ/TMF/UGL + trend50d @ 21d,3835,11.93,30.8,-60.63,0.52,0.2,5.6
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend50d @ 21d,3835,11.93,20.9,-47.46,0.64,0.25,5.6
3sleeve 50/20/30 TQQQ/TMF/UGL + trend50d @ 3d,3835,11.84,22.27,-41.34,0.61,0.29,5.5
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend100d @ 3d,3835,11.75,17.51,-30.92,0.72,0.38,5.4
HFEA-Tech 60/40 TQQQ/TMF + trend50d @ 3d,3835,11.74,25.82,-49.49,0.56,0.24,5.4
3sleeve 50/20/30 TQQQ/TMF/UGL + trend50d @ 21d,3835,11.62,23.71,-50.33,0.58,0.23,5.3
3sleeve 80/10/10 TQQQ/TMF/UGL + trend50d @ 21d,3835,11.48,34.6,-66.7,0.49,0.17,5.2
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend50d @ 5d,3835,11.27,16.71,-24.99,0.72,0.45,5.1
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 + trend50d @ 3d,3835,11.07,19.5,-40.19,0.64,0.28,4.9
HFEA-Tech 80/20 TQQQ/TMF + trend50d @ 21d,3835,11.01,34.33,-69.0,0.48,0.16,4.9
100% TQQQ + trend50d @ 3d,3835,10.83,40.45,-68.71,0.46,0.16,4.8
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend50d @ 21d,3835,10.49,17.86,-40.02,0.65,0.26,4.6
HFEA-Tech 60/40 TQQQ/TMF + trend50d @ 21d,3835,10.4,27.32,-63.99,0.5,0.16,4.5
100% TQQQ + trend50d @ 21d,3835,10.1,43.35,-74.77,0.44,0.14,4.3
theme4 SSO/TQQQ/UBT/UGL 25/25/25/25 + trend50d @ 3d,3835,9.35,16.68,-36.11,0.62,0.26,3.9
100% UPRO + trend50d @ 3d,3835,8.6,32.06,-59.9,0.42,0.14,3.5
100% SOXL + trend50d @ 21d,3835,7.88,65.21,-86.17,0.45,0.09,3.2
100% SOXL + trend50d @ 10d,3835,6.67,62.8,-88.4,0.42,0.08,2.7
