lookback,top_n,cap,rebal,overlay_base,pdot_floor,nav_win,pdot_win,skip_recent,nav_floor_mult,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_Vol,FULL_MDD,NAVx,SR_gap,min_sr,calmar,step
120,3,1.0,21,5.0,0.25,20,252,0,0.33,0.627,32.65,-43.3,0.674,32.67,-75.3,0.651,32.66,50.2,-75.3,9.7,0.04700000000000004,0.627,0.4337317397078353,2
120,3,1.0,21,5.0,0.25,12,252,0,0.4,0.309,12.3,-46.4,0.187,8.02,-76.2,0.24,9.98,41.6,-77.0,1.1,0.122,0.187,0.12961038961038962,2
120,3,1.0,21,5.0,0.25,15,252,0,0.4,0.783,44.52,-43.3,0.513,23.47,-75.7,0.647,33.11,51.1,-75.7,9.7,0.27,0.513,0.4373844121532364,2
120,3,1.0,21,5.0,0.25,17,252,0,0.4,0.518,25.68,-43.3,0.638,25.85,-60.7,0.574,25.77,44.9,-60.7,6.1,0.12,0.518,0.4245469522240527,2
120,3,1.0,21,5.0,0.25,20,252,0,0.4,0.675,35.7,-43.3,0.631,30.62,-76.0,0.652,32.94,50.6,-76.0,9.7,0.04400000000000004,0.631,0.43342105263157893,2
120,3,1.0,21,5.0,0.25,12,252,0,0.5,0.418,19.13,-43.3,0.512,23.93,-77.0,0.47,21.73,46.3,-77.0,3.2,0.09400000000000003,0.418,0.28220779220779224,2
120,3,1.0,21,5.0,0.25,15,252,0,0.5,0.613,32.67,-43.3,0.519,24.21,-76.5,0.564,28.08,49.8,-76.5,5.8,0.09399999999999997,0.519,0.3670588235294117,2
120,3,1.0,21,5.0,0.25,17,252,0,0.5,0.52,25.94,-43.3,0.511,21.91,-71.2,0.514,23.76,46.2,-71.2,4.4,0.009000000000000008,0.511,0.33370786516853934,2
120,3,1.0,21,5.0,0.25,20,252,0,0.5,0.669,35.49,-43.3,0.6,29.06,-76.6,0.632,32.01,50.6,-76.6,8.6,0.06900000000000006,0.6,0.41788511749347257,2
120,3,1.0,21,5.0,0.28,12,252,0,0.25,0.804,43.07,-52.2,0.002,0.09,-61.7,0.42,19.78,47.1,-61.7,2.6,0.802,0.002,0.3205834683954619,2
120,3,1.0,21,5.0,0.28,15,252,0,0.25,0.648,36.42,-57.4,0.251,10.92,-77.7,0.454,22.6,49.7,-77.7,3.1,0.397,0.251,0.2908622908622909,2
120,3,1.0,21,5.0,0.28,17,252,0,0.25,0.885,47.56,-50.7,0.242,10.6,-62.0,0.566,27.53,48.6,-62.0,6.3,0.643,0.242,0.4440322580645161,2
120,3,1.0,21,5.0,0.28,20,252,0,0.25,0.666,35.79,-51.3,0.445,21.18,-74.5,0.552,27.87,50.5,-74.5,5.5,0.22100000000000003,0.445,0.37409395973154363,2
120,3,1.0,21,5.0,0.28,12,252,0,0.33,0.787,42.46,-51.9,0.137,5.91,-63.4,0.469,22.65,48.3,-63.4,3.4,0.65,0.137,0.35725552050473186,2
120,3,1.0,21,5.0,0.28,15,252,0,0.33,1.0,56.52,-51.1,0.271,12.09,-62.4,0.644,32.44,50.4,-62.4,10.0,0.729,0.271,0.5198717948717948,2
120,3,1.0,21,5.0,0.28,17,252,0,0.33,0.813,42.56,-50.6,0.26,11.69,-62.4,0.533,25.83,48.5,-62.4,5.2,0.5529999999999999,0.26,0.41394230769230766,2
120,3,1.0,21,5.0,0.28,20,252,0,0.33,0.757,42.53,-46.0,0.608,30.7,-77.2,0.679,36.12,53.2,-77.2,12.1,0.14900000000000002,0.608,0.46787564766839373,2
120,3,1.0,21,5.0,0.28,12,252,0,0.4,0.817,45.16,-51.7,0.213,9.4,-63.2,0.52,25.78,49.6,-63.2,4.6,0.604,0.213,0.4079113924050633,2
120,3,1.0,21,5.0,0.28,15,252,0,0.4,0.906,50.47,-52.5,0.292,13.22,-62.6,0.602,30.28,50.3,-62.6,7.8,0.6140000000000001,0.292,0.4837060702875399,2
120,3,1.0,21,5.0,0.28,17,252,0,0.4,0.81,43.2,-51.7,0.269,12.25,-62.6,0.536,26.43,49.3,-62.6,5.3,0.541,0.269,0.4222044728434505,2
120,3,1.0,21,5.0,0.28,20,252,0,0.4,0.728,41.61,-46.2,0.609,31.1,-77.8,0.666,35.91,53.9,-77.8,11.2,0.119,0.609,0.46156812339331615,2
120,3,1.0,21,5.0,0.28,12,252,0,0.5,0.888,49.62,-51.6,0.273,12.41,-62.8,0.583,29.46,50.5,-62.8,6.7,0.615,0.273,0.46910828025477713,2
120,3,1.0,21,5.0,0.28,15,252,0,0.5,0.921,51.81,-52.5,0.327,15.12,-62.8,0.625,31.92,51.1,-62.8,8.9,0.5940000000000001,0.327,0.5082802547770701,2
120,3,1.0,21,5.0,0.28,17,252,0,0.5,0.68,35.77,-55.4,0.267,12.21,-62.8,0.469,23.0,49.0,-66.4,3.6,0.41300000000000003,0.267,0.3463855421686747,2
120,3,1.0,21,5.0,0.28,20,252,0,0.5,0.724,41.85,-48.6,0.635,32.98,-78.2,0.677,37.05,54.7,-78.2,12.1,0.08899999999999997,0.635,0.4737851662404092,2
120,3,1.0,21,5.0,0.3,12,252,0,0.25,0.949,55.3,-52.1,0.069,2.98,-64.5,0.531,26.95,50.7,-64.5,5.0,0.8799999999999999,0.069,0.4178294573643411,2
120,3,1.0,21,5.0,0.3,15,252,0,0.25,0.961,55.13,-53.3,0.235,10.67,-65.3,0.605,31.04,51.3,-65.3,8.0,0.726,0.235,0.4753445635528331,2
120,3,1.0,21,5.0,0.3,17,252,0,0.25,0.944,53.9,-52.0,0.23,10.47,-65.3,0.594,30.36,51.2,-65.3,7.4,0.714,0.23,0.4649310872894334,2
120,3,1.0,21,5.0,0.3,20,252,0,0.25,0.653,35.34,-60.3,0.593,30.45,-77.4,0.621,32.69,52.6,-77.4,8.4,0.06000000000000005,0.593,0.42235142118863045,2
120,3,1.0,21,5.0,0.3,12,252,0,0.33,0.973,58.1,-51.8,0.13,5.76,-65.6,0.571,29.73,52.0,-65.6,6.4,0.843,0.13,0.45320121951219516,2
120,3,1.0,21,5.0,0.3,15,252,0,0.33,1.084,64.48,-51.1,0.259,11.93,-65.6,0.684,36.0,52.6,-65.6,13.0,0.8250000000000001,0.259,0.5487804878048781,2
120,3,1.0,21,5.0,0.3,17,252,0,0.33,0.907,51.4,-51.8,0.267,12.6,-65.6,0.587,30.38,51.7,-65.6,7.1,0.64,0.267,0.463109756097561,2
120,3,1.0,21,5.0,0.3,20,252,0,0.33,0.715,39.46,-57.6,0.635,33.17,-78.2,0.672,36.05,53.6,-78.2,11.8,0.07999999999999996,0.635,0.46099744245524293,2
120,3,1.0,21,5.0,0.3,12,252,0,0.4,1.012,61.45,-51.6,0.234,10.77,-65.8,0.638,33.99,53.3,-65.8,9.6,0.778,0.234,0.516565349544073,2
120,3,1.0,21,5.0,0.3,15,252,0,0.4,0.987,58.01,-51.6,0.302,14.32,-65.8,0.648,34.33,53.0,-65.8,10.4,0.685,0.302,0.5217325227963526,2
120,3,1.0,21,5.0,0.3,17,252,0,0.4,0.92,52.98,-51.6,0.283,13.5,-65.8,0.602,31.58,52.5,-65.8,7.8,0.637,0.283,0.47993920972644377,2
120,3,1.0,21,5.0,0.3,20,252,0,0.4,0.851,47.98,-56.0,0.314,15.02,-65.8,0.58,30.11,51.9,-67.7,6.9,0.5369999999999999,0.314,0.44475627769571635,2
120,3,1.0,21,5.0,0.3,12,252,0,0.5,1.049,63.66,-51.5,0.283,13.42,-66.0,0.676,36.44,53.9,-66.0,12.3,0.766,0.283,0.5521212121212121,2
120,3,1.0,21,5.0,0.3,15,252,0,0.5,1.009,59.82,-51.5,0.341,16.54,-66.0,0.677,36.36,53.7,-66.0,12.6,0.6679999999999999,0.341,0.5509090909090909,2
120,3,1.0,21,5.0,0.3,17,252,0,0.5,0.923,53.3,-51.5,0.28,13.36,-66.0,0.602,31.65,52.6,-66.0,7.8,0.643,0.28,0.4795454545454545,2
120,3,1.0,21,5.0,0.3,20,252,0,0.5,0.925,53.16,-55.1,0.312,15.06,-66.0,0.617,32.51,52.7,-66.0,8.7,0.613,0.312,0.49257575757575756,2
120,3,1.0,21,5.0,0.32,12,252,0,0.25,0.994,60.04,-52.0,0.08,3.6,-68.2,0.559,29.45,52.7,-68.2,5.9,0.914,0.08,0.43181818181818177,2
120,3,1.0,21,5.0,0.32,15,252,0,0.25,1.01,60.33,-52.0,0.205,9.6,-68.4,0.618,32.84,53.1,-68.4,8.7,0.805,0.205,0.4801169590643275,2
120,3,1.0,21,5.0,0.32,17,252,0,0.25,1.015,59.64,-52.0,0.203,9.49,-68.4,0.617,32.46,52.6,-68.4,8.6,0.8119999999999998,0.203,0.4745614035087719,2
120,3,1.0,21,5.0,0.32,20,252,0,0.25,0.944,51.71,-55.5,0.242,11.57,-68.4,0.586,29.96,51.1,-68.4,7.2,0.702,0.242,0.43801169590643274,2
120,3,1.0,21,5.0,0.32,12,252,0,0.33,1.05,66.32,-51.7,0.209,9.86,-68.7,0.649,35.72,55.1,-68.7,10.6,0.8410000000000001,0.209,0.5199417758369723,2
120,3,1.0,21,5.0,0.32,15,252,0,0.33,1.023,61.54,-51.7,0.174,8.13,-68.7,0.612,32.59,53.3,-68.7,8.3,0.849,0.174,0.47438136826783117,2
120,3,1.0,21,5.0,0.32,17,252,0,0.33,0.994,59.03,-51.7,0.267,13.05,-68.7,0.632,34.11,54.0,-68.7,9.5,0.727,0.267,0.49650655021834056,2
120,3,1.0,21,5.0,0.32,20,252,0,0.33,0.998,58.51,-53.7,0.233,11.2,-68.7,0.619,32.87,53.1,-68.7,8.7,0.765,0.233,0.47845705967976704,2
120,3,1.0,21,5.0,0.32,12,252,0,0.4,1.104,70.33,-51.6,0.251,12.09,-68.9,0.695,38.77,55.8,-68.9,14.4,0.8530000000000001,0.251,0.5626995645863571,2
120,3,1.0,21,5.0,0.32,15,252,0,0.4,1.045,63.3,-51.6,0.283,13.86,-68.9,0.669,36.5,54.6,-68.9,12.1,0.762,0.283,0.5297532656023222,2
120,3,1.0,21,5.0,0.32,17,252,0,0.4,1.002,59.87,-51.6,0.273,13.42,-68.9,0.64,34.69,54.2,-68.9,10.0,0.729,0.273,0.5034833091436864,2
120,3,1.0,21,5.0,0.32,20,252,0,0.4,1.032,62.11,-52.7,0.149,7.05,-67.9,0.602,32.27,53.6,-67.9,7.9,0.883,0.149,0.4752577319587629,2
120,3,1.0,21,5.0,0.32,12,252,0,0.5,1.137,72.74,-51.4,0.275,13.44,-69.0,0.721,40.61,56.3,-69.0,17.3,0.862,0.275,0.5885507246376811,2
120,3,1.0,21,5.0,0.32,15,252,0,0.5,1.077,66.21,-51.4,0.352,17.72,-69.0,0.716,39.93,55.8,-69.0,16.6,0.725,0.352,0.578695652173913,2
120,3,1.0,21,5.0,0.32,17,252,0,0.5,1.011,60.91,-51.4,0.281,13.81,-69.0,0.649,35.39,54.6,-69.0,10.6,0.7299999999999999,0.281,0.5128985507246376,2
120,3,1.0,21,5.0,0.32,20,252,0,0.5,1.027,62.28,-51.1,0.175,8.38,-68.2,0.612,33.07,54.1,-68.2,8.3,0.8519999999999999,0.175,0.4848973607038123,2
120,3,1.0,21,5.0,0.35,12,252,0,0.25,1.084,68.67,-54.6,0.04,1.91,-72.1,0.586,32.49,55.4,-72.1,7.0,1.044,0.04,0.45062413314840505,2
120,3,1.0,21,5.0,0.35,15,252,0,0.25,1.062,66.3,-54.7,0.09,4.24,-69.3,0.597,32.67,54.7,-69.3,7.6,0.9720000000000001,0.09,0.4714285714285715,2
120,3,1.0,21,5.0,0.35,17,252,0,0.25,1.025,61.65,-54.9,0.199,9.88,-72.6,0.614,33.59,54.8,-72.6,8.5,0.8259999999999998,0.199,0.46267217630854,2
120,3,1.0,21,5.0,0.35,20,252,0,0.25,0.897,49.94,-57.0,0.093,4.46,-69.5,0.49,25.29,51.6,-69.5,4.0,0.804,0.093,0.3638848920863309,2
