date,pick_1,pick_2,pick_3,n_positive
2024-04-16,UGL,UCO,NUGT,3
2024-04-23,YINN,,,1
2024-04-30,YINN,EDC,FAS,4
2024-05-07,YINN,LABU,SOXL,14
2024-05-14,YINN,LABU,TECL,17
2024-05-21,ETH_USD,SOXL,YINN,20
2024-05-29,ETH_USD,SOXL,BTC_USD,9
2024-06-05,SOXL,LABU,TMF,12
2024-06-12,LABU,SOXL,TECL,13
2024-06-20,TECL,UCO,SOXL,14
2024-06-27,UCO,TQQQ,ERX,14
2024-07-05,NUGT,TQQQ,QLD,14
2024-07-12,NUGT,LABU,SOXL,16
2024-07-19,LABU,BTC_USD,ETH_USD,11
2024-07-26,BTC_USD,LABU,FAS,6
2024-08-02,TMF,UBT,TYD,5
2024-08-09,TMF,UBT,DRN,5
2024-08-16,SOXL,TECL,TQQQ,14
2024-08-23,SOXL,TECL,TQQQ,19
2024-08-30,FAS,DRN,LABU,10
2024-09-09,TMF,DRN,UBT,5
2024-09-16,TMF,DRN,UBT,6
2024-09-23,YINN,SOXL,TECL,17
2024-09-30,YINN,EDC,SOXL,13
2024-10-07,YINN,EDC,UCO,7
2024-10-14,UCO,SOXL,ERX,15
2024-10-21,NUGT,FAS,TECL,12
2024-10-28,UGL,BTC_USD,NUGT,5
2024-11-04,UCO,LABU,UGL,6
2024-11-11,ETH_USD,BTC_USD,FAS,13
2024-11-18,ETH_USD,BTC_USD,FAS,9
2024-11-25,DRN,FAS,BTC_USD,10
2024-12-03,LABU,ETH_USD,TMF,18
2024-12-10,YINN,TQQQ,ETH_USD,14
2024-12-17,TQQQ,BTC_USD,ETH_USD,7
2024-12-24,SOXL,TECL,TQQQ,6
2025-01-02,UCO,ERX,UGL,3
2025-01-10,UCO,ERX,NUGT,4
2025-01-17,SOXL,ERX,FAS,16
2025-01-27,YINN,FAS,DRN,16
2025-02-03,NUGT,YINN,LABU,10
2025-02-10,NUGT,YINN,UGL,14
2025-02-18,YINN,TECL,SOXL,14
2025-02-25,YINN,TMF,DRN,6
2025-03-04,TMF,UBT,TYD,4
2025-03-11,YINN,NUGT,TYD,3
2025-03-18,YINN,NUGT,EDC,5
2025-03-25,FAS,SOXL,ERX,15
2025-04-01,UCO,ERX,UGL,12
2025-04-08,TYD,,,1
2025-04-15,NUGT,UGL,,2
2025-04-23,YINN,LABU,EDC,17
2025-04-30,LABU,SOXL,ETH_USD,18
2025-05-07,SOXL,TECL,TQQQ,17
2025-05-14,SOXL,ETH_USD,TECL,13
2025-05-21,ETH_USD,SOXL,TECL,14
2025-05-29,NUGT,LABU,UGL,13
2025-06-05,NUGT,LABU,SOXL,17
2025-06-12,SOXL,UCO,TECL,20
2025-06-20,UCO,ERX,SOXL,12
2025-06-27,SOXL,TECL,TQQQ,12
2025-07-07,TECL,SOXL,FAS,14
2025-07-14,ETH_USD,LABU,BTC_USD,16
2025-07-21,ETH_USD,YINN,SOXL,15
2025-07-28,ETH_USD,YINN,TECL,15
2025-08-04,TMF,NUGT,UBT,9
2025-08-11,NUGT,ETH_USD,TMF,10
2025-08-18,ETH_USD,NUGT,LABU,13
2025-08-25,YINN,LABU,ERX,14
2025-09-02,NUGT,UGL,ERX,10
2025-09-09,NUGT,LABU,UGL,14
2025-09-16,SOXL,EDC,TMF,17
2025-09-23,SOXL,NUGT,TECL,16
2025-09-30,NUGT,LABU,SOXL,13
2025-10-07,LABU,SOXL,UGL,16
2025-10-14,LABU,UGL,TMF,7
2025-10-21,LABU,TMF,SOXL,12
2025-10-28,SOXL,TECL,LABU,15
2025-11-04,UCO,TECL,SOXL,9
2025-11-11,NUGT,ERX,UGL,6
2025-11-18,NUGT,LABU,ERX,7
2025-11-25,LABU,NUGT,TYD,5
2025-12-03,SOXL,LABU,NUGT,18
2025-12-10,SOXL,TECL,NUGT,15
2025-12-17,NUGT,UGL,FAS,3
2025-12-24,NUGT,UGL,FAS,9
2026-01-02,SOXL,EDC,YINN,16
2026-01-09,SOXL,EDC,ERX,13
2026-01-16,SOXL,NUGT,DRN,17
2026-01-26,NUGT,UGL,SOXL,10
2026-02-02,ERX,SOXL,UCO,10
2026-02-09,ERX,UCO,DRN,8
2026-02-17,DRN,ERX,TMF,9
2026-02-24,NUGT,DRN,EDC,11
2026-03-03,UCO,ERX,NUGT,5
2026-03-10,UCO,ETH_USD,BTC_USD,5
2026-03-17,UCO,ETH_USD,BTC_USD,10
2026-03-24,ERX,UCO,ETH_USD,5
2026-03-31,ERX,LABU,,2
2026-04-08,NUGT,LABU,UGL,11
