label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,family,cohort
LETF-only 2015+ :: mom core6 lb=63 top3,2829,18.91,50.52,-76.05,0.6,0.25,7.0,mom,LETF-only 2015+
LETF+BTC 2015+ :: mom core6 lb=63 top3,2829,18.91,50.52,-76.05,0.6,0.25,7.0,mom,LETF+BTC 2015+
LETF+BTCETH 2018+ :: mom core6+BTC lb=63 top4,2074,18.9,48.94,-76.12,0.6,0.25,4.2,mom,LETF+BTCETH 2018+
LETF-only 2018+ :: HFEA-Tech 60/40 TQQQ/TMF,2074,17.77,44.75,-75.46,0.59,0.24,3.8,fixed,LETF-only 2018+
LETF+BTCETH 2018+ :: HFEA-Tech 60/40 TQQQ/TMF,2074,17.77,44.75,-75.46,0.59,0.24,3.8,fixed,LETF+BTCETH 2018+
LETF-only 2015+ :: mom core6 lb=126 top2,2829,14.93,60.03,-77.44,0.54,0.19,4.8,mom,LETF-only 2015+
LETF+BTC 2015+ :: mom core6 lb=126 top2,2829,14.93,60.03,-77.44,0.54,0.19,4.8,mom,LETF+BTC 2015+
LETF+BTCETH 2018+ :: mom core6+BTC+ETH lb=126 top4,2074,13.9,55.91,-71.79,0.52,0.19,2.9,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: mom core6 lb=126 top3,2074,13.09,60.96,-75.1,0.51,0.17,2.8,mom,LETF+BTCETH 2018+
LETF-only 2018+ :: mom core6 lb=126 top3,2074,13.09,60.96,-75.1,0.51,0.17,2.8,mom,LETF-only 2018+
LETF+BTCETH 2018+ :: mom core6+BTC+ETH lb=63 top3,2074,12.97,53.13,-78.91,0.5,0.16,2.7,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: mom core6 lb=63 top2,2074,12.93,55.34,-72.39,0.5,0.18,2.7,mom,LETF+BTCETH 2018+
LETF-only 2018+ :: mom core6 lb=63 top2,2074,12.93,55.34,-72.39,0.5,0.18,2.7,mom,LETF-only 2018+
LETF+BTCETH 2018+ :: mom core6+BTC lb=126 top4,2074,12.72,56.09,-75.04,0.5,0.17,2.7,mom,LETF+BTCETH 2018+
LETF+BTC 2015+ :: mom core6 lb=63 top2,2829,11.11,53.76,-71.1,0.47,0.16,3.3,mom,LETF+BTC 2015+
LETF-only 2015+ :: mom core6 lb=63 top2,2829,11.11,53.76,-71.1,0.47,0.16,3.3,mom,LETF-only 2015+
LETF+BTCETH 2018+ :: mom core6+BTC lb=63 top2,2074,8.59,53.82,-83.36,0.42,0.1,2.0,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: mom core6+BTC lb=126 top3,2074,8.07,58.12,-75.1,0.43,0.11,1.9,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: mom core6+BTC+ETH lb=63 top2,2074,6.16,59.48,-88.83,0.4,0.07,1.6,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: mom core6+BTC+ETH lb=126 top3,2074,3.36,60.55,-77.21,0.36,0.04,1.3,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: mom core6+BTC+ETH lb=126 top2,2074,3.31,65.63,-86.3,0.39,0.04,1.3,mom,LETF+BTCETH 2018+
LETF-only 2018+ :: mom core6 lb=126 top2,2074,-0.87,63.0,-84.1,0.31,-0.01,0.9,mom,LETF-only 2018+
LETF+BTCETH 2018+ :: mom core6 lb=126 top2,2074,-0.87,63.0,-84.1,0.31,-0.01,0.9,mom,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: mom core6+BTC lb=126 top2,2074,-3.42,62.05,-86.57,0.26,-0.04,0.8,mom,LETF+BTCETH 2018+
