pair,horizon,n_trades,active_days,sharpe
HYG-USHY,5,50,86,-0.9321574281977191
JNK-USHY,5,62,111,-0.3375573060623806
AGG-BND,5,140,210,-0.2254750841778161
TIP-SCHP,5,124,178,-1.2206822814146214
MUB-VTEB,5,112,194,-0.7958896932951228
EMB-VWOB,5,82,164,-0.44034905166784283
MBB-VMBS,5,182,263,-0.7689709431373153
SHY-IEI,21,108,801,-0.24973078188460088
SHY-GOVT,21,98,658,-0.25923190888928727
SHY-IEF,21,124,763,-0.20140636540359638
SHY-TLH,21,152,783,-0.32031631677621863
SHY-TLT,21,146,812,-0.2684304784538264
SHY-SPTL,21,124,793,-0.23754004245014007
SHY-VGLT,21,86,691,-0.35722283986004433
SHY-LQD,21,170,844,-0.31158958459937053
SHY-VCIT,21,88,612,-0.5883829781076804
SHY-IGIB,21,203,820,-0.5807501209795948
SHY-VCSH,21,125,654,-0.4457326135313932
SHY-HYG,21,142,524,0.026329220518516747
SHY-JNK,21,110,555,-0.32153942286676934
SHY-USHY,21,68,335,0.030274563066302444
SHY-AGG,21,184,941,-0.5561049112791673
SHY-BND,21,148,884,-0.5268701251043877
SHY-TIP,21,122,640,-0.1878459360169622
SHY-SCHP,21,68,326,-0.17769673352750484
SHY-MUB,21,106,573,-0.5872016960187735
SHY-VTEB,21,66,347,-0.3706870125059034
SHY-EMB,21,128,601,-0.31867483125658375
SHY-VWOB,21,103,479,-0.08828044788362659
SHY-FLOT,21,175,717,-0.6673868180946954
SHY-MBB,21,184,846,-0.6019277829776648
SHY-VMBS,21,158,665,-0.7275387975046554
IEI-IEF,21,118,709,-0.5171412260579966
GOVT-IEF,21,82,500,-0.4378146018123013
IEI-TLH,21,188,791,-0.5032851020219484
IEI-TLT,21,128,721,-0.2644030376783262
IEI-SPTL,21,126,693,-0.3483940250809271
IEI-VGLT,21,94,626,-0.38338648558210364
GOVT-TLH,21,108,582,-0.5900930315475599
GOVT-TLT,21,76,556,-0.18991393885806826
GOVT-SPTL,21,76,538,-0.2865388316248331
GOVT-VGLT,21,76,570,-0.34675170239718783
IEI-LQD,21,158,833,-0.39099584999214165
IEI-VCIT,21,110,613,-0.07448342341329593
IEI-IGIB,21,201,882,-0.466453246561382
GOVT-LQD,21,104,681,-0.3673079229467298
GOVT-VCIT,21,90,544,-0.3857260992947386
GOVT-IGIB,21,113,598,-0.41229564283398396
IEI-VCSH,21,86,533,-0.4784109803652646
GOVT-VCSH,21,98,642,-0.39434226157413405
IEI-HYG,21,104,455,-0.02901214987414926
IEI-JNK,21,88,465,-0.41004446012079304
IEI-USHY,21,66,293,-0.17189708762930042
GOVT-HYG,21,84,436,0.09122145734302377
GOVT-JNK,21,84,405,0.0591761719776315
GOVT-USHY,21,88,372,-0.17601727118534702
IEI-AGG,21,162,856,-0.5369523815787024
IEI-BND,21,144,835,-0.45500034971091
GOVT-AGG,21,116,643,-0.46323072888219463
GOVT-BND,21,108,609,-0.2973744094232768
IEI-TIP,21,132,557,-0.16540130514409618
IEI-SCHP,21,72,381,-0.12550034654665157
GOVT-TIP,21,104,431,-0.3767217218440052
GOVT-SCHP,21,98,414,-0.3793001043359987
IEI-MUB,21,108,525,-0.06190596532549232
IEI-VTEB,21,100,328,0.01743302387786827
GOVT-MUB,21,80,390,0.07284245145993182
GOVT-VTEB,21,98,400,-0.03519709767452432
IEI-EMB,21,126,588,-0.16620067863764906
IEI-VWOB,21,101,476,-0.2838687051654738
GOVT-EMB,21,90,471,-0.1468277765208063
GOVT-VWOB,21,103,508,-0.20401498010558872
IEI-FLOT,21,94,635,-0.23765057237834997
GOVT-FLOT,21,112,714,-0.19429580077674025
IEI-MBB,21,188,791,-0.3723061104478276
IEI-VMBS,21,178,587,-0.8152201765183531
GOVT-MBB,21,152,570,-0.35508434255939786
GOVT-VMBS,21,162,565,-0.4407841773737524
IEF-TLH,21,212,934,-0.6071174565199697
IEF-TLT,21,142,849,-0.22775045317283324
IEF-SPTL,21,148,799,-0.3496545499574316
IEF-VGLT,21,114,683,-0.35576549605324803
IEF-LQD,21,148,776,-0.35555047860037653
IEF-VCIT,21,80,380,-0.3821903722260147
IEF-IGIB,21,108,568,-0.22734669742643426
IEF-VCSH,21,70,475,-0.29757732029504136
IEF-HYG,21,84,494,-0.1515010246916991
IEF-JNK,21,64,449,-0.2564889715151806
IEF-USHY,21,58,336,-0.21086345605278273
IEF-AGG,21,94,643,-0.4191522472435532
IEF-BND,21,88,576,-0.20713030098795154
IEF-TIP,21,146,835,-0.31892104475899813
IEF-SCHP,21,86,491,-0.4783414256968289
IEF-MUB,21,88,513,0.1500448882110437
IEF-VTEB,21,74,370,0.04961574101910356
IEF-EMB,21,124,661,-0.1992839177868419
IEF-VWOB,21,97,475,-0.03558482645412925
IEF-FLOT,21,70,539,-0.1776006287558146
IEF-MBB,21,80,615,0.061799214601960334
IEF-VMBS,21,62,391,0.04066502280825976
TLH-LQD,21,140,694,-0.13099441314042393
TLH-VCIT,21,106,544,-0.32133124981171696
TLH-IGIB,21,128,714,-0.3586775531265468
TLT-LQD,21,134,786,-0.13644730936894597
TLT-VCIT,21,76,447,-0.23617602874689667
TLT-IGIB,21,124,695,-0.052335807399544146
SPTL-LQD,21,98,585,-0.14545560073464278
SPTL-VCIT,21,76,463,-0.3509104472567895
SPTL-IGIB,21,108,636,-0.13084272160460073
VGLT-LQD,21,84,460,0.013277873748611887
VGLT-VCIT,21,88,469,-0.30393870684150126
VGLT-IGIB,21,84,523,-0.24973212150676358
TLH-VCSH,21,94,552,-0.4885349305677285
TLT-VCSH,21,74,555,-0.43653531591734296
SPTL-VCSH,21,84,626,-0.3820942524052386
VGLT-VCSH,21,84,633,-0.45202898333309727
TLH-HYG,21,96,527,-0.16637973227421746
TLH-JNK,21,82,529,-0.055679859596716355
TLH-USHY,21,56,337,-0.0780940036448349
TLT-HYG,21,102,579,-0.1722891402667996
TLT-JNK,21,86,553,-0.18835182954332158
TLT-USHY,21,48,324,-0.09104630798765159
SPTL-HYG,21,86,519,-0.13069394718512986
SPTL-JNK,21,82,557,-0.010284806416015467
SPTL-USHY,21,48,305,-0.0021979770948638688
VGLT-HYG,21,74,415,0.06304667140932327
VGLT-JNK,21,74,432,-0.02309686581934812
VGLT-USHY,21,48,303,-0.0037665912166934827
TLH-AGG,21,140,758,-0.3356494223166287
TLH-BND,21,134,700,-0.41072067333627066
TLT-AGG,21,126,811,-0.3599020924343672
TLT-BND,21,112,704,-0.2614102807123141
SPTL-AGG,21,128,726,-0.23844346269667122
SPTL-BND,21,120,690,-0.359659011016933
VGLT-AGG,21,88,605,-0.4025000524759008
VGLT-BND,21,88,596,-0.4117677219423989
TLH-TIP,21,194,808,-0.5515388994476412
TLH-SCHP,21,130,549,-0.469365475698293
TLT-TIP,21,172,834,-0.335089332331079
TLT-SCHP,21,106,564,-0.2565463462037905
SPTL-TIP,21,136,704,-0.36060827125763817
SPTL-SCHP,21,102,561,-0.2404453478959543
VGLT-TIP,21,110,598,-0.28042772819373524
VGLT-SCHP,21,108,583,-0.2517261561564846
TLH-MUB,21,152,619,-0.04906891353424272
TLH-VTEB,21,94,432,-0.13445072037791886
TLT-MUB,21,116,627,-0.11312363875725197
TLT-VTEB,21,72,422,-0.19467456360963434
SPTL-MUB,21,118,636,-0.162620947350814
SPTL-VTEB,21,70,401,-0.24871006835457193
VGLT-MUB,21,116,600,-0.0327680297424583
VGLT-VTEB,21,70,397,-0.23283120550800385
TLH-EMB,21,130,642,-0.1607772094077192
TLH-VWOB,21,110,513,-0.014893322419844993
TLT-EMB,21,118,621,-0.019633969206765047
TLT-VWOB,21,82,502,-0.03598065829657549
SPTL-EMB,21,120,627,-0.12221699155577254
SPTL-VWOB,21,84,470,-0.007135405247386655
VGLT-EMB,21,98,494,0.019628663434386785
VGLT-VWOB,21,86,495,0.0028578405424882305
TLH-FLOT,21,88,558,-0.2879533481114396
TLT-FLOT,21,62,518,-0.36151994661184383
SPTL-FLOT,21,66,550,-0.336346585811937
VGLT-FLOT,21,72,579,-0.3152644809395309
TLH-MBB,21,128,745,-0.31713041137057063
TLH-VMBS,21,92,513,-0.3906616366487114
TLT-MBB,21,126,664,-0.16756875812473504
TLT-VMBS,21,80,518,-0.14907706964969064
SPTL-MBB,21,124,694,-0.16670257678785366
SPTL-VMBS,21,88,542,-0.11515500572093106
VGLT-MBB,21,90,567,-0.10516666437056377
VGLT-VMBS,21,88,559,-0.11191536801294107
LQD-VCSH,21,124,658,-0.24174682422788296
VCIT-VCSH,21,98,599,-0.2148734240312303
IGIB-VCSH,21,198,798,-1.2021158709958117
LQD-HYG,21,96,504,0.09065651652769842
LQD-JNK,21,92,481,-0.07541036699443085
LQD-USHY,21,58,296,0.3061279429866862
VCIT-HYG,21,60,314,0.3143783384495396
VCIT-JNK,21,64,309,0.23100811517038541
VCIT-USHY,21,66,320,-0.040173679122645536
IGIB-HYG,21,92,403,0.1460967770283044
IGIB-JNK,21,80,429,-0.13406943364440552
IGIB-USHY,21,68,326,-0.06257248184821954
LQD-AGG,21,160,846,-0.20185791087663998
LQD-BND,21,140,757,0.01497790527406959
VCIT-AGG,21,94,491,-0.27298516549363055
VCIT-BND,21,108,478,0.08384902192984783
IGIB-AGG,21,181,750,-0.2703321084329245
IGIB-BND,21,175,697,-0.2482024361113891
LQD-TIP,21,168,733,-0.013367954644430222
LQD-SCHP,21,122,596,0.04490022349728466
VCIT-TIP,21,92,458,-0.0879679434403771
VCIT-SCHP,21,96,482,-0.11498330640766198
IGIB-TIP,21,126,619,0.04704595687428265
IGIB-SCHP,21,82,428,-0.2153844041116108
LQD-MUB,21,136,716,-0.008729462523706072
LQD-VTEB,21,78,456,-0.2258929913605513
VCIT-MUB,21,122,470,0.007073373435832806
VCIT-VTEB,21,88,327,0.06168537344549835
IGIB-MUB,21,122,607,-0.04640400140780893
IGIB-VTEB,21,82,285,0.256177811515101
LQD-EMB,21,150,517,0.05189984943834008
LQD-VWOB,21,98,435,0.011557687611282513
VCIT-EMB,21,112,434,-0.09588162121559927
VCIT-VWOB,21,95,382,0.07064294837473428
IGIB-EMB,21,114,489,-0.21247604066522047
IGIB-VWOB,21,80,383,0.013204391197065755
LQD-FLOT,21,96,625,-0.11867411213049361
VCIT-FLOT,21,78,609,-0.24681491661433724
IGIB-FLOT,21,136,772,-0.6240527566162953
LQD-MBB,21,128,673,-0.2613882342295563
LQD-VMBS,21,84,510,-0.09827196584252301
VCIT-MBB,21,68,400,-0.32090658271996797
VCIT-VMBS,21,66,361,-0.24329813864340047
IGIB-MBB,21,194,738,-0.5875753080579164
IGIB-VMBS,21,138,553,-0.19656673594538662
VCSH-HYG,21,88,375,0.3124610494561368
VCSH-JNK,21,80,396,0.19579715836179876
VCSH-USHY,21,66,297,-0.00026749956237956835
VCSH-AGG,21,110,628,-0.5463294384382091
VCSH-BND,21,118,661,-0.6051960444873273
VCSH-TIP,21,82,362,-0.1172293598345136
VCSH-SCHP,21,74,317,0.2108115844707398
VCSH-MUB,21,78,474,-0.2169031174299719
VCSH-VTEB,21,62,380,0.02701212001940505
VCSH-EMB,21,108,551,-0.14016469791837857
VCSH-VWOB,21,91,492,-0.3158423146496772
VCSH-FLOT,21,111,715,-0.40758803110118075
VCSH-MBB,21,152,589,-0.49869882568443563
VCSH-VMBS,21,156,606,-0.418160000306973
HYG-AGG,21,90,446,0.1451977732405467
HYG-BND,21,90,427,0.25610134018760305
JNK-AGG,21,78,436,-0.12609102497670965
JNK-BND,21,82,452,-0.14156401941212504
USHY-AGG,21,86,339,-0.2715083368803014
USHY-BND,21,84,342,-0.26338676969273017
HYG-TIP,21,86,393,0.07269878407452476
HYG-SCHP,21,78,365,0.32918196086107815
JNK-TIP,21,78,379,0.03275154383902679
JNK-SCHP,21,78,359,0.38389680608340326
USHY-TIP,21,76,333,-0.1677717770112754
USHY-SCHP,21,72,317,-0.1642677369089692
HYG-MUB,21,88,398,-0.005352545469302023
HYG-VTEB,21,40,207,-0.08876943890049736
JNK-MUB,21,62,401,-0.17041648054389044
JNK-VTEB,21,38,190,-0.13635029366148205
USHY-MUB,21,68,307,-0.06541174313044326
