label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,recipe,rebal_days
3sleeve 50/30/20 TQQQ/TMF/UGL @ 5d,3835,27.34,32.49,-68.67,0.91,0.4,39.6,3sleeve 50/30/20 TQQQ/TMF/UGL,5
3sleeve 50/30/20 TQQQ/TMF/UGL @ 10d,3835,27.34,32.49,-68.67,0.91,0.4,39.6,3sleeve 50/30/20 TQQQ/TMF/UGL,10
3sleeve 50/30/20 TQQQ/TMF/UGL @ 21d,3835,27.34,32.49,-68.67,0.91,0.4,39.6,3sleeve 50/30/20 TQQQ/TMF/UGL,21
UPRO/UGL 90/10 @ 21d,3835,26.69,46.45,-72.51,0.74,0.37,36.6,UPRO/UGL 90/10,21
UPRO/UGL 90/10 @ 10d,3835,26.69,46.45,-72.51,0.74,0.37,36.6,UPRO/UGL 90/10,10
UPRO/UGL 90/10 @ 5d,3835,26.69,46.45,-72.51,0.74,0.37,36.6,UPRO/UGL 90/10,5
UPRO/UGL 90/10 @ 3d,3835,26.69,46.45,-72.51,0.74,0.37,36.6,UPRO/UGL 90/10,3
100% UPRO @ 21d,3835,26.54,51.3,-76.82,0.72,0.35,35.9,100% UPRO,21
100% UPRO @ 10d,3835,26.54,51.3,-76.82,0.72,0.35,35.9,100% UPRO,10
100% UPRO @ 5d,3835,26.54,51.3,-76.82,0.72,0.35,35.9,100% UPRO,5
100% UPRO @ 3d,3835,26.54,51.3,-76.82,0.72,0.35,35.9,100% UPRO,3
HFEA 90/10 UPRO/TMF @ 21d,3835,26.43,45.16,-70.58,0.75,0.37,35.5,HFEA 90/10 UPRO/TMF,21
HFEA 90/10 UPRO/TMF @ 10d,3835,26.43,45.16,-70.58,0.75,0.37,35.5,HFEA 90/10 UPRO/TMF,10
HFEA 90/10 UPRO/TMF @ 5d,3835,26.43,45.16,-70.58,0.75,0.37,35.5,HFEA 90/10 UPRO/TMF,5
HFEA 90/10 UPRO/TMF @ 3d,3835,26.43,45.16,-70.58,0.75,0.37,35.5,HFEA 90/10 UPRO/TMF,3
UPRO/UGL 80/20 @ 21d,3835,26.38,41.9,-67.66,0.77,0.39,35.2,UPRO/UGL 80/20,21
UPRO/UGL 80/20 @ 10d,3835,26.38,41.9,-67.66,0.77,0.39,35.2,UPRO/UGL 80/20,10
UPRO/UGL 80/20 @ 5d,3835,26.38,41.9,-67.66,0.77,0.39,35.2,UPRO/UGL 80/20,5
UPRO/UGL 80/20 @ 3d,3835,26.38,41.9,-67.66,0.77,0.39,35.2,UPRO/UGL 80/20,3
4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL @ 21d,3835,26.23,32.65,-61.2,0.88,0.43,34.6,4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL,21
4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL @ 10d,3835,26.23,32.65,-61.2,0.88,0.43,34.6,4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL,10
4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL @ 5d,3835,26.23,32.65,-61.2,0.88,0.43,34.6,4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL,5
4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL @ 3d,3835,26.23,32.65,-61.2,0.88,0.43,34.6,4sleeve 40/20/20/20 UPRO/TQQQ/TMF/UGL,3
3sleeve 50/40/10 TQQQ/TMF/UGL @ 3d,3835,26.14,32.88,-71.78,0.87,0.36,34.2,3sleeve 50/40/10 TQQQ/TMF/UGL,3
3sleeve 50/40/10 TQQQ/TMF/UGL @ 5d,3835,26.14,32.88,-71.78,0.87,0.36,34.2,3sleeve 50/40/10 TQQQ/TMF/UGL,5
3sleeve 50/40/10 TQQQ/TMF/UGL @ 10d,3835,26.14,32.88,-71.78,0.87,0.36,34.2,3sleeve 50/40/10 TQQQ/TMF/UGL,10
3sleeve 50/40/10 TQQQ/TMF/UGL @ 21d,3835,26.14,32.88,-71.78,0.87,0.36,34.2,3sleeve 50/40/10 TQQQ/TMF/UGL,21
3sleeve 80/10/10 UPRO/TMF/UGL @ 3d,3835,26.12,40.44,-65.47,0.78,0.4,34.2,3sleeve 80/10/10 UPRO/TMF/UGL,3
3sleeve 80/10/10 UPRO/TMF/UGL @ 5d,3835,26.12,40.44,-65.47,0.78,0.4,34.2,3sleeve 80/10/10 UPRO/TMF/UGL,5
3sleeve 80/10/10 UPRO/TMF/UGL @ 10d,3835,26.12,40.44,-65.47,0.78,0.4,34.2,3sleeve 80/10/10 UPRO/TMF/UGL,10
3sleeve 80/10/10 UPRO/TMF/UGL @ 21d,3835,26.12,40.44,-65.47,0.78,0.4,34.2,3sleeve 80/10/10 UPRO/TMF/UGL,21
3sleeve 40/10/50 TQQQ/TMF/UGL @ 21d,3835,25.63,30.46,-56.48,0.9,0.45,32.2,3sleeve 40/10/50 TQQQ/TMF/UGL,21
3sleeve 40/10/50 TQQQ/TMF/UGL @ 10d,3835,25.63,30.46,-56.48,0.9,0.45,32.2,3sleeve 40/10/50 TQQQ/TMF/UGL,10
3sleeve 40/10/50 TQQQ/TMF/UGL @ 5d,3835,25.63,30.46,-56.48,0.9,0.45,32.2,3sleeve 40/10/50 TQQQ/TMF/UGL,5
3sleeve 40/10/50 TQQQ/TMF/UGL @ 3d,3835,25.63,30.46,-56.48,0.9,0.45,32.2,3sleeve 40/10/50 TQQQ/TMF/UGL,3
UPRO/UGL 70/30 @ 3d,3835,25.59,37.74,-62.24,0.79,0.41,32.1,UPRO/UGL 70/30,3
UPRO/UGL 70/30 @ 5d,3835,25.59,37.74,-62.24,0.79,0.41,32.1,UPRO/UGL 70/30,5
UPRO/UGL 70/30 @ 10d,3835,25.59,37.74,-62.24,0.79,0.41,32.1,UPRO/UGL 70/30,10
UPRO/UGL 70/30 @ 21d,3835,25.59,37.74,-62.24,0.79,0.41,32.1,UPRO/UGL 70/30,21
HFEA 80/20 UPRO/TMF @ 21d,3835,25.55,39.55,-63.9,0.78,0.4,31.9,HFEA 80/20 UPRO/TMF,21
HFEA 80/20 UPRO/TMF @ 10d,3835,25.55,39.55,-63.9,0.78,0.4,31.9,HFEA 80/20 UPRO/TMF,10
HFEA 80/20 UPRO/TMF @ 5d,3835,25.55,39.55,-63.9,0.78,0.4,31.9,HFEA 80/20 UPRO/TMF,5
HFEA 80/20 UPRO/TMF @ 3d,3835,25.55,39.55,-63.9,0.78,0.4,31.9,HFEA 80/20 UPRO/TMF,3
EW7 core+finance+em @ 3d,3835,25.41,41.3,-66.89,0.76,0.38,31.4,EW7 core+finance+em,3
EW7 core+finance+em @ 5d,3835,25.41,41.3,-66.89,0.76,0.38,31.4,EW7 core+finance+em,5
EW7 core+finance+em @ 10d,3835,25.41,41.3,-66.89,0.76,0.38,31.4,EW7 core+finance+em,10
EW7 core+finance+em @ 21d,3835,25.41,41.3,-66.89,0.76,0.38,31.4,EW7 core+finance+em,21
3sleeve 70/10/20 UPRO/TMF/UGL @ 21d,3835,25.34,36.09,-59.78,0.81,0.42,31.1,3sleeve 70/10/20 UPRO/TMF/UGL,21
3sleeve 70/10/20 UPRO/TMF/UGL @ 10d,3835,25.34,36.09,-59.78,0.81,0.42,31.1,3sleeve 70/10/20 UPRO/TMF/UGL,10
3sleeve 70/10/20 UPRO/TMF/UGL @ 5d,3835,25.34,36.09,-59.78,0.81,0.42,31.1,3sleeve 70/10/20 UPRO/TMF/UGL,5
3sleeve 70/10/20 UPRO/TMF/UGL @ 3d,3835,25.34,36.09,-59.78,0.81,0.42,31.1,3sleeve 70/10/20 UPRO/TMF/UGL,3
3sleeve 40/20/40 TQQQ/TMF/UGL @ 21d,3835,25.07,29.22,-60.57,0.91,0.41,30.1,3sleeve 40/20/40 TQQQ/TMF/UGL,21
3sleeve 40/20/40 TQQQ/TMF/UGL @ 10d,3835,25.07,29.22,-60.57,0.91,0.41,30.1,3sleeve 40/20/40 TQQQ/TMF/UGL,10
3sleeve 40/20/40 TQQQ/TMF/UGL @ 5d,3835,25.07,29.22,-60.57,0.91,0.41,30.1,3sleeve 40/20/40 TQQQ/TMF/UGL,5
3sleeve 40/20/40 TQQQ/TMF/UGL @ 3d,3835,25.07,29.22,-60.57,0.91,0.41,30.1,3sleeve 40/20/40 TQQQ/TMF/UGL,3
EW4 UPRO/TQQQ/TMF/UGL @ 21d,3835,24.86,29.56,-61.07,0.9,0.41,29.3,EW4 UPRO/TQQQ/TMF/UGL,21
EW4 UPRO/TQQQ/TMF/UGL @ 10d,3835,24.86,29.56,-61.07,0.9,0.41,29.3,EW4 UPRO/TQQQ/TMF/UGL,10
EW4 UPRO/TQQQ/TMF/UGL @ 5d,3835,24.86,29.56,-61.07,0.9,0.41,29.3,EW4 UPRO/TQQQ/TMF/UGL,5
EW4 UPRO/TQQQ/TMF/UGL @ 3d,3835,24.86,29.56,-61.07,0.9,0.41,29.3,EW4 UPRO/TQQQ/TMF/UGL,3
theme4 UPRO/TECL/TMF/UGL 25/25/25/25 @ 3d,3835,24.86,30.35,-60.11,0.88,0.41,29.3,theme4 UPRO/TECL/TMF/UGL 25/25/25/25,3
theme4 UPRO/TECL/TMF/UGL 25/25/25/25 @ 5d,3835,24.86,30.35,-60.11,0.88,0.41,29.3,theme4 UPRO/TECL/TMF/UGL 25/25/25/25,5
theme4 UPRO/TECL/TMF/UGL 25/25/25/25 @ 10d,3835,24.86,30.35,-60.11,0.88,0.41,29.3,theme4 UPRO/TECL/TMF/UGL 25/25/25/25,10
theme4 UPRO/TECL/TMF/UGL 25/25/25/25 @ 21d,3835,24.86,30.35,-60.11,0.88,0.41,29.3,theme4 UPRO/TECL/TMF/UGL 25/25/25/25,21
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 @ 21d,3835,24.86,29.56,-61.07,0.9,0.41,29.3,theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25,21
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 @ 10d,3835,24.86,29.56,-61.07,0.9,0.41,29.3,theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25,10
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 @ 5d,3835,24.86,29.56,-61.07,0.9,0.41,29.3,theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25,5
theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25 @ 3d,3835,24.86,29.56,-61.07,0.9,0.41,29.3,theme4 UPRO/TQQQ/TMF/UGL 25/25/25/25,3
3sleeve 70/20/10 UPRO/TMF/UGL @ 21d,3835,24.78,35.06,-60.56,0.81,0.41,29.1,3sleeve 70/20/10 UPRO/TMF/UGL,21
3sleeve 70/20/10 UPRO/TMF/UGL @ 10d,3835,24.78,35.06,-60.56,0.81,0.41,29.1,3sleeve 70/20/10 UPRO/TMF/UGL,10
3sleeve 70/20/10 UPRO/TMF/UGL @ 5d,3835,24.78,35.06,-60.56,0.81,0.41,29.1,3sleeve 70/20/10 UPRO/TMF/UGL,5
3sleeve 70/20/10 UPRO/TMF/UGL @ 3d,3835,24.78,35.06,-60.56,0.81,0.41,29.1,3sleeve 70/20/10 UPRO/TMF/UGL,3
theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25 @ 10d,3835,24.78,28.93,-56.58,0.91,0.44,29.0,theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25,10
theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25 @ 21d,3835,24.78,28.93,-56.58,0.91,0.44,29.0,theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25,21
theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25 @ 5d,3835,24.78,28.93,-56.58,0.91,0.44,29.0,theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25,5
theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25 @ 3d,3835,24.78,28.93,-56.58,0.91,0.44,29.0,theme4 UPRO/TQQQ/UBT/UGL 25/25/25/25,3
theme4 UPRO/TECL/UBT/UGL 25/25/25/25 @ 3d,3835,24.77,29.78,-55.65,0.89,0.45,29.0,theme4 UPRO/TECL/UBT/UGL 25/25/25/25,3
theme4 UPRO/TECL/UBT/UGL 25/25/25/25 @ 5d,3835,24.77,29.78,-55.65,0.89,0.45,29.0,theme4 UPRO/TECL/UBT/UGL 25/25/25/25,5
theme4 UPRO/TECL/UBT/UGL 25/25/25/25 @ 10d,3835,24.77,29.78,-55.65,0.89,0.45,29.0,theme4 UPRO/TECL/UBT/UGL 25/25/25/25,10
theme4 UPRO/TECL/UBT/UGL 25/25/25/25 @ 21d,3835,24.77,29.78,-55.65,0.89,0.45,29.0,theme4 UPRO/TECL/UBT/UGL 25/25/25/25,21
HFEA-Tech 50/50 TQQQ/TMF @ 21d,3835,24.64,34.0,-74.96,0.82,0.33,28.5,HFEA-Tech 50/50 TQQQ/TMF,21
HFEA-Tech 50/50 TQQQ/TMF @ 10d,3835,24.64,34.0,-74.96,0.82,0.33,28.5,HFEA-Tech 50/50 TQQQ/TMF,10
