,VOLT_RP,DONCHIAN_BO,VRP,BOND_DIP
2011-01-06,0.034125381134356106,0.007611136803892915,0.007611136803892915,0.0
2011-01-07,-0.024061152936369172,-0.010225439003110126,-0.010225439003110126,0.0
2011-01-10,0.07098386071933721,0.0210137693326522,0.0210137693326522,0.0
2011-01-11,0.006666512362564324,0.00390994356449359,0.00390994356449359,0.0
2011-01-12,0.02873787132786815,0.005841057432764751,0.005841057432764751,0.0
2011-01-13,-0.0029455781201762313,0.00022735504034332443,0.00022735504034332443,0.0
2011-01-14,-5.217665272393465e-05,0.0,0.0,0.0
2011-01-17,-0.008869254443552813,-0.0026185088235081144,-0.0026185088235081144,0.0
2011-01-18,0.08875813864673048,0.025567957060464552,0.025567957060464552,0.0
2011-01-19,-0.12651299612268727,-0.03361115666390613,-0.03361115666390613,0.0
2011-01-20,0.0029603704063602644,0.004030981385066523,0.004030981385066523,0.0
2011-01-21,-0.05247437271248827,-0.02259733302625111,-0.02259733302625111,0.0
2011-01-24,0.036392721480610395,0.015021378817199338,0.015021378817199338,0.0
2011-01-25,0.03965368230601019,0.016303142043102792,0.016303142043102792,0.0
2011-01-26,0.029867518853427033,0.01319689263330126,0.01319689263330126,0.0
2011-01-27,0.001241476495702586,0.004940408427735354,0.004940408427735354,0.0
2011-01-28,-0.08824200380580095,-0.04715117628213972,-0.04715117628213972,0.0
2011-01-31,0.03246193256288477,0.021458874442015663,0.021458874442015663,0.0
2011-02-01,0.02969779132121671,0.01790857489244191,0.01790857489244191,0.0
2011-02-02,-0.012589195947755063,-0.0022554987256588888,-0.0022554987256588888,0.0
2011-02-03,0.016809111859907095,0.007799002630737295,0.007799002630737295,0.0
2011-02-04,0.015733918798467174,0.014467963605697465,0.014467963605697465,0.0
2011-02-07,0.019727906672806685,0.005638793118883267,0.005638793118883267,0.0
2011-02-08,0.0050889775545525035,0.00923502763131867,0.00923502763131867,0.0
2011-02-09,-0.023212276045517292,-0.011437846092638648,-0.011437846092638648,0.0
2011-02-10,0.01712163944273738,0.009146186087277242,0.009146186087277242,0.0
