Date,UPRO,SSO,TQQQ,QLD,TECL,FAS,ERX,SOXL,DRN,EDC,YINN,TMF,UBT,TYD,UGL,UCO,SPY,QQQ,TLT,GLD,BIL,SHY
2021-02-25,0.02451229093594502,0.0,0.32360536102509496,0.05208608349328031,0.03930431577769893,0.0,0.0,0.053304206351198626,0.0,0.017266093025679996,0.0,0.0,0.0,0.01197993606316105,0.01197993606316105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,0.025681036195937694,0.0,0.24800545615319738,0.03892398059685821,0.011650233479151296,0.014030802716786396,0.0,0.027558801518496805,0.0,0.013218870208206225,0.0,0.0,0.0,0.009035895457923077,0.009035895457923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.025970452557478298,0.0,0.24702068587782552,0.03875058444416654,0.011662425211251815,0.014308027346226486,0.0,0.02716490694068346,0.0,0.013182984314077485,0.0,0.0,0.0,0.00901609666470549,0.00901609666470549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02,0.021527120098338917,0.0,0.21329269281134441,0.03522021020357032,0.0,0.01252298149002653,0.012748181502603418,0.012262741218470716,0.009004138608312387,0.012262741218470716,0.009004138608312387,0.0,0.0,0.008377761471934803,0.008377761471934803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,0.014561054878496649,0.0,0.21179427946024462,0.033882711407583775,0.011587127632697121,0.0,0.011925367125974775,0.01800135842880703,0.0084015169268573,0.006414230796109909,0.0084015169268573,0.0,0.0,0.008141384521586664,0.008141384521586664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-04,0.014062150908316147,0.0,0.19519665136008024,0.031012481956949903,0.01108905864692736,0.0,0.011515558571477706,0.01723059153434332,0.008107584736487195,0.006141532887415959,0.008107584736487195,0.0,0.0,0.007701738712647611,0.007701738712647611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-05,0.012908756349405616,0.0,0.19476780352375042,0.03008625064429884,0.010295235664814582,0.0,0.011299618675626183,0.016045603016168863,0.007470587698792607,0.0,0.007470587698792607,0.0,0.0,0.007285600521302357,0.007285600521302357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,0.012251583897703413,0.0,0.19007089673007507,0.02929565994461307,0.009859813812486688,0.0,0.010896418085235934,0.015476986354886934,0.007151428535814755,0.0,0.007151428535814755,0.0,0.0,0.007139487675897044,0.007139487675897044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,0.006775188290184501,0.0,0.17197494190810156,0.02717508493183104,0.004397255098191942,0.010567085423974845,0.0,0.00954563454456978,0.006775188290184501,0.0,0.0,0.0,0.0,0.013371070937472414,0.006595882647287913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,0.006409452548011287,0.0,0.15733807579923062,0.024574138429204227,0.004003489068690139,0.010112711425644091,0.0,0.0087710108232547,0.006409452548011287,0.0,0.0,0.0,0.0,0.012414686151046496,0.006005233603035209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-11,0.006471458483825794,0.0,0.15744369365312952,0.024593394541654743,0.0040117983786096744,0.00999400531118017,0.0,0.008762894400493085,0.006471458483825794,0.0,0.0,0.0,0.0,0.012489156051740306,0.006017697567914512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-12,0.006390136094095055,0.0,0.1475202769201437,0.023671449340887604,0.0038853019451498103,0.0099540891687613,0.0,0.008470284702069859,0.006390136094095055,0.004584982756920049,0.0,0.0,0.0,0.01221808901181977,0.005827952917724716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-15,0.006391065418030436,0.0,0.1473411312322033,0.023649232397859044,0.003873366167476847,0.009983250492214869,0.0,0.008448855523097924,0.006391065418030436,0.004575489355621076,0.0,0.0,0.0,0.012201114669245706,0.005810049251215271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-16,0.006391588240525441,0.0,0.15407595631407373,0.02371852012954429,0.01027619855781519,0.02568417128883953,0.0,0.008488053435133902,0.0,0.004603443117844153,0.0,0.0,0.0,0.005826915475934623,0.005826915475934623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-17,0.00639130800068671,0.0,0.15412946896873606,0.02372789842109879,0.010270715244250632,0.02564575316822515,0.0,0.008478718848055398,0.0,0.004599311604491477,0.0,0.0,0.0,0.005819110865345881,0.005819110865345881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-18,0.0064289750070876134,0.0,0.1545009096,0.023785033840316917,0.018114784566758694,0.017844084595835207,0.0,0.008490108685308792,0.0,0.004605610453432178,0.0,0.0,0.0,0.005826747347814922,0.005826747347814922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,0.013269297004315578,0.0,0.14514641568969042,0.022345457638283918,0.016943653292284856,0.009845391080788236,0.0,0.008079899001148716,0.0,0.004405542713179442,0.0,0.0,0.0,0.005511534431953914,0.005511534431953914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-22,0.010746815716695416,0.0,0.1450877497896303,0.022318481481518115,0.014418657637662815,0.014872083939075985,0.0,0.008071790629012079,0.0,0.00439994870804468,0.0,0.0,0.0,0.005507762881451098,0.005507762881451098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-23,0.010442907201292335,0.0,0.1368018175658081,0.02185647783094606,0.01405467190485394,0.004950199752951234,0.009677441624452903,0.007974824391607752,0.0054927074483411015,0.004363059688046147,0.0,0.0,0.0,0.005417647055342408,0.005417647055342408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-24,0.00840355675300865,0.0,0.13976487088882053,0.02185248098233455,0.00840355675300865,0.0065545814666331,0.00961988582154015,0.010856464979887343,0.005453268124604979,0.004301883513254244,0.0,0.0,0.0,0.005406439257344143,0.005406439257344143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-25,0.008337711125067836,0.0,0.13787828549367087,0.02155898421191134,0.008337711125067836,0.006527982846259632,0.009519511477472632,0.010782400283241147,0.005396400557375811,0.004254417436981515,0.0,0.0,0.0,0.00538000841785141,0.00538000841785141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-26,0.00909015751452078,0.0,0.13954841206112908,0.021731309414519447,0.00909015751452078,0.0035985319546712785,0.009549032969876444,0.01155090902087791,0.005404447664940936,0.004266667216626788,0.0,0.0,0.0,0.005397797932006917,0.005397797932006917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-29,0.0050822233788020265,0.0,0.1405892808315951,0.021340457492488873,0.012073093675056561,0.0035124116660052505,0.009375210319056625,0.00761540770498981,0.0050822233788020265,0.00410299603898456,0.0,0.0,0.0,0.005268617499007876,0.005268617499007876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-30,0.008657082022807053,0.0,0.13722948833658977,0.021351316919709547,0.0035718764705761122,0.0035053702744840304,0.009486527824576976,0.011175014596600292,0.0,0.009182973403771088,0.0050852055522309396,0.0,0.0,0.005258055411726046,0.005258055411726046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.008632435550135919,0.0,0.1371566318490683,0.021344545729310528,0.003561129772984693,0.003505504920314516,0.00947989188952653,0.011165307266548618,0.0,0.009169978350400636,0.005071305777151226,0.0,0.0,0.0052582573804717744,0.0052582573804717744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,0.008656828775718961,0.0,0.13744949748514743,0.021360846663775416,0.0035533679809839403,0.0034984215225482384,0.00949312850709034,0.011143948853200563,0.0,0.009195620144403406,0.0051034607947350215,0.0,0.0,0.0052476322838223574,0.0052476322838223574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0051124086047342285,0.0,0.1324968671714137,0.02106417613209731,0.0,0.003439427294961899,0.009855771790369998,0.00749265536710975,0.0,0.009165636676882078,0.0051124086047342285,0.0,0.0,0.005159140942442849,0.005159140942442849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-06,0.005178093126395717,0.0,0.13185498812711513,0.020966003207618458,0.0,0.003487125110603098,0.010011981479290789,0.007564487105299125,0.0,0.009255455121091745,0.005178093126395717,0.0,0.0,0.005230687665904648,0.005230687665904648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-07,0.005355830300537069,0.0,0.13732673715088403,0.021459658454501217,0.005355830300537069,0.01387793040561019,0.0,0.021582968879561203,0.0,0.009597428952022145,0.0,0.0,0.0,0.0053994461671239575,0.0053994461671239575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-08,0.005220954623475663,0.0,0.1383930694056006,0.021674403510129937,0.005220954623475663,0.013898839534215538,0.0,0.021627605110790225,0.0,0.009471285876498394,0.0,0.0,0.0,0.005414852179091417,0.005414852179091417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-09,0.005219206069171841,0.0,0.13954503186807143,0.02171120640529158,0.005219206069171841,0.018289931742140886,0.0,0.02159335053955803,0.0,0.005219206069171841,0.0,0.0,0.0,0.00542000546304172,0.00542000546304172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
