Date,TREND_TQQQ_QQQ,TREND_UPRO_SPY,TREND_TECL_XLK,TREND_SOXL_SMH,TREND_DRN_VNQ,TREND_TMF_TLT,TREND_UBT_TLT,TREND_TYD_TLT,TREND_UGL_GLD,TREND_UCO_USO,TREND_TQQQ_fast,TREND_UPRO_slow,TSMOM_L4,TSMOM_L2,TSMOM_L3,XSMOM_T2_126,XSMOM_T3_126,XSMOM_T2_252,RPAR_3,RPAR_4,RPAR_6,RPAR_eqtrend,CREDIT_UPRO,CREDIT_SSO,CREDIT_TQQQ,VOLREG_SSO,VOLREG_UPRO,VOLREG_TQQQ,DIP_UPRO,DIP_TQQQ,DIP_UPRO_tight,SEASON_UPRO,SEASON_TQQQ,CURVE_TMF
2017-06-26,-0.003344015726395345,0.00041626533563418383,-0.003925052202153491,-0.003344035382209619,0.009305676391120331,0.026211752948828076,0.022925305171966337,0.01802087529304275,-0.01838932113359172,0.002285103441551372,-0.0033440157263953485,0.00041626533563418323,0.0032631173079988845,0.0020393759131891506,0.003237249282533711,0.00047230406885539415,-0.0007568412135968815,-0.004218709596865524,-0.0035936385557731906,-0.001333043691357666,-0.0006359959875375928,-0.0023583260677849612,0.0,0.0,0.0,0.00042906626716589355,0.0005478548169571477,-0.005858371093236769,0.0004290086571360089,-0.0042509892816920344,0.00042900865713600635,0.0,0.0,0.0
2017-06-27,-0.01374012215037289,-0.011392989099956532,-0.012052399017750905,-0.010804621719628822,-0.01088060484338601,-0.07941169182192614,-0.05605468789301765,-0.033073679943741996,0.005553057971721203,0.0056426115960671085,-0.013740122150372904,-0.011392989099956518,-0.011891839244482755,-0.012583030616744054,-0.011829805746685339,-0.013103866286824499,-0.014323082963488007,-0.015013290534948322,-0.013722687762155458,-0.006805411436160678,-0.016059508236913333,-0.013825700415659859,0.0,0.0,0.0,-0.014909606647677119,-0.014965263387442338,-0.024087736430815028,-0.011745113405970387,-0.017546817879192007,-0.011745113405970314,0.0,0.0,0.0
2017-06-28,0.009426769380659583,0.01200069709123345,0.008388226172420531,0.0063850708180845876,0.002151990488629243,-0.013729648479125561,-0.013743178333288487,0.0,0.0025098147274272703,0.003386694963403933,0.009426769380659592,0.012000697091233435,0.006596052387710862,0.009784102361822153,0.007002694665205063,0.008013794009525602,0.009264930333979848,0.009808180652920022,0.006147189997364065,0.006584137543334744,0.007803110964954181,0.01159951005153983,0.0,0.0,0.0,0.015516326007309744,0.015472703677771312,0.016412644114745606,0.012355827661285916,0.012556197013885327,0.012355827661285844,0.0,0.0,0.0
2017-06-29,-0.010991771121655234,-0.011769365564632706,-0.011764480326962073,-0.009234105621106761,-0.013419986997912735,-0.02954470046120531,-0.02875044458294638,-0.03461469499357078,-0.007040156199276298,0.0005304577167347043,-0.010991771121655246,-0.01176936556463269,-0.011095280562826397,-0.012622846656561682,-0.011017120156370202,-0.012065983410192379,-0.012867884714677376,-0.0130533806068282,-0.015883586926212428,-0.011549789165278315,-0.016550227865332497,-0.0135782325794292,0.0,0.0,0.0,-0.014529022756071014,-0.014817073060192202,-0.018886825479261404,-0.012092492999320827,-0.014776047631584813,-0.012092492999320761,0.0,0.0,0.0
2017-06-30,-0.0007022024559589625,0.002137339503817466,-0.00046391649025019947,-0.001760536584778506,-0.0005272269742011721,-0.009277521479333436,-0.006667727627951701,0.0,-0.005444940553131998,0.008719896680040048,-0.000702202455958963,0.0021373395038174637,0.00016099298342196904,0.0006066353776399744,0.0005494895989030473,0.00013621785635687194,-0.00016502120079547942,-0.0018446098921167838,-0.0026453896535385975,0.0028652734477161205,0.0009739003152342514,0.00038128005470904584,0.0,0.0,0.0,-0.0005081119350091218,-0.0004485894161491131,-0.00027596828952885995,-0.00037020826099412065,-0.0002215937620115274,-0.00037020826099411875,0.006028044667270316,-0.004278352740341931,0.0
2017-07-03,-0.005485482410753343,0.0022262620564190596,-0.004526161009498773,-0.00505892413201303,0.014859263367254967,-0.010218707064163203,-0.02014941950258284,-0.05010082418303851,-0.029305716478152135,0.0035035554071869233,-0.005485482410753347,0.002226262056419057,0.0018170548857361554,0.00020934690803557418,0.0027716898392821324,-0.0032395036895685675,-0.004443884492214021,-0.0070304321258553805,-0.011595874130805697,-0.006902321471985692,-0.009743375555426828,-0.0030075030345445308,0.0,0.0,0.0,0.002521478435907259,0.0023047193243637878,-0.009671702532978482,0.0,0.0,0.0,0.007908915309688014,-0.028054957897597963,0.0
2017-07-05,0.005624457924871244,0.0029580153282687716,0.005806425210534866,0.0073498889327246264,-0.01509758702475954,0.0015131146210247898,0.002848055509284687,0.0021231988685604455,-0.00044272222763206467,-0.010752549346245886,0.0056244579248712475,0.002958015328268768,0.0014261139136781617,0.004344027562183979,0.0013649404361682081,0.006084307134742506,0.0065976203815846296,0.009114071406025518,0.0047188767531871015,-0.0024921740524342074,0.0011497559911490185,0.00577315651433595,0.0,0.0,0.0,0.003108152138902966,0.003648399947677744,0.009651932989876861,0.0,0.0,0.0,0.010736596106445874,0.025264991047725918,0.0
2017-07-06,-0.005129921832561549,-0.012099625945497757,-0.0052218579906339905,-0.001495852465590466,-0.01781130940176457,-0.025886584595574642,-0.023613595331369513,-0.005642184236290463,0.0,0.0013873224164559536,-0.0051299218325615535,-0.012099625945497745,-0.012729511573889934,-0.009370758506163037,-0.013319082972545939,-0.0050128656186492464,-0.005635451572249791,-0.0038670097690392574,-0.013245301167150326,-0.009613231796086124,-0.01202847443351709,-0.009069340328226535,0.0,0.0,0.0,-0.014795683615226058,-0.014881588043561047,-0.008759293566834862,0.0,0.0,0.0,-0.04307058511564086,-0.020839085977255097,0.0
2017-07-07,0.005709246719340495,0.008070076308208371,0.006411872342469882,0.005565795171411465,0.004765670250521779,-0.0160095551664976,-0.015691461482288387,-0.009872908520585248,0.0,-0.006113495400774367,0.0057092467193405,0.008070076308208364,0.007556103603681329,0.00652715087954023,0.007852677028878619,0.00561791380613753,0.006318551053053325,0.007692727217665879,-0.004986576524234965,-0.007571813290427006,-0.004713671574112106,0.008241476513413616,0.0,0.0,0.0,-0.00048463152389870715,-0.00042737900738170546,-0.0002611938832393942,0.0,0.0,0.0,0.02206810822072121,0.02162794225371282,0.0
2017-07-10,0.003949976450006646,0.001209394678660529,0.004253428290493539,0.004037181656240168,-0.00918561609625027,0.0017984531857866196,0.00626476563343292,0.006991738058129949,0.0,0.0006199865147220841,0.003949976450006648,0.0012093946786605277,0.004053410044281556,0.004374327048539126,0.0035939026904664617,0.006313617584224683,0.006125978647606015,0.005473272819007319,0.0022734984580241317,0.0021740740853260568,0.004171976546941661,0.003911158091690263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008759362658340685,-0.0005293718398392823,0.0
