,net_ret,mult,p_bad
2019-08-28,0.0021042681158320565,0.6280385128541884,0.5176034024885565
2019-08-29,-0.002690981902051971,0.6471897925343305,0.5392953045338893
2019-08-30,-0.0009159548881199193,0.5821140863983322,0.5487910266259844
2019-09-02,-2.4497991215400567e-05,0.5536269201220467,0.5243021215140575
2019-09-03,0.01356679895687483,0.6270936354578275,0.5249829938023874
2019-09-04,0.004888038765397618,0.6250510185928377,0.5413788974917508
2019-09-05,0.0007140523270983145,0.5758633075247476,0.5784212125752218
2019-09-06,-0.0054077355670197795,0.46473636227433457,0.5800064585802535
2019-09-09,-0.005068659455456256,0.4599806242592397,0.5787613289045243
2019-09-10,-0.0029607466455658774,0.4637160132864273,0.5354903851592037
2019-09-11,-0.0001088671743434808,0.5935288445223891,0.5543769286146623
2019-09-12,-0.0007834829838412543,0.5368692141560133,0.5546461202868899
2019-09-13,-0.00837366324509475,0.5360616391393305,0.5479163659164676
2019-09-16,0.007825471834436121,0.5562509022505971,0.5514838014086598
2019-09-17,0.002801218443321492,0.5455485957740206,0.5359120110114459
2019-09-18,0.004732681783172378,0.5922639669656623,0.5111864761750978
2019-09-19,-0.008250640929923166,0.6664405714747066,0.5127421277413474
2019-09-20,0.008785176821600788,0.6617736167759578,0.49572158645395953
2019-09-23,-0.0014226329321902844,0.7128352406381215,0.5397623144269404
2019-09-24,0.0031831598051466964,0.5807130567191787,0.5473466176882609
2019-09-25,-0.0022142881703005805,0.5579601469352174,0.5348567854333672
2019-09-26,-0.00599702868945525,0.5954296436998984,0.5335706870027983
2019-09-27,-0.0018279615087580482,0.5992879389916052,0.5390453989156938
2019-09-30,-0.011397501003710911,0.5828638032529186,0.5683065788804385
2019-10-01,-0.004572271838248955,0.4950802633586847,0.5254506383748198
2019-10-02,0.00932554561242364,0.6236480848755408,0.49800057022601124
2019-10-03,0.01311728833165839,0.7059982893219663,0.48188210484087496
2019-10-04,0.007797423201502239,0.7543536854773751,0.5339645136676471
2019-10-07,-0.003126809165543284,0.5981064589970588,0.5369361279201965
2019-10-08,-0.003972737006212875,0.5891916162394105,0.5418868974247933
2019-10-09,-0.006473373358377004,0.57433930772562,0.5161520805831844
2019-10-10,0.00029961360453744653,0.6515437582504469,0.520250022400842
2019-10-11,0.00022723096669886593,0.6392499327974742,0.5577100630763556
2019-10-14,0.0011862794732327364,0.5268698107709332,0.5992002053428424
2019-10-15,-0.0001259422943856277,0.402399383971473,0.6224000101270102
2019-10-16,-0.001909675583855414,0.3327999696189695,0.6579844082203009
2019-10-17,2.7612156447607032e-05,0.22604677533909734,0.6423413194247851
2019-10-18,0.000767066722577521,0.2729760417256447,0.6157185322210872
2019-10-21,-0.0008557838803533251,0.3528444033367385,0.6034730851521517
2019-10-22,-0.0005630803164520143,0.38958074454354497,0.6310106141641445
2019-10-23,0.0023177550234919934,0.30696815750756656,0.6506944607367517
2019-10-24,0.0015533826250680573,0.24791661778974483,0.6820911608763826
2019-10-25,0.0003592294544126808,0.1537265173708524,0.6871881375807347
2019-10-28,-0.0006868841331400428,0.13843558725779592,0.6867379469912008
2019-10-29,0.0009684889459406536,0.13978615902639757,0.6740261249690527
2019-10-30,0.002271970861073216,0.17792162509284204,0.6591661254211423
2019-10-31,0.0030592925864560455,0.22250162373657323,0.6710612733269379
2019-11-01,1.549216772692004e-05,0.18681618001918643,0.6785869120353222
2019-11-04,-0.0010293305164725329,0.16423926389403354,0.6571753653993336
2019-11-05,-0.002522872198949905,0.22847390380199917,0.6521281371771073
2019-11-06,-0.0009649480611861976,0.24361558846867826,0.6343298916400182
2019-11-07,-0.0032042637240940587,0.2970103250799455,0.6237584193214897
2019-11-08,-0.0007519373128620919,0.32872474203553104,0.6107416195045179
2019-11-11,-0.0002539358646293365,0.3677751414864464,0.6115108270570717
2019-11-12,0.0011414054297425138,0.3654675188287849,0.6115111927188864
2019-11-13,0.005631571632779972,0.36546642184334077,0.6004442953369069
2019-11-14,0.0035346753547224594,0.39866711398927934,0.6028830687434462
2019-11-15,0.0012634468350715602,0.3913507937696614,0.5993796705908848
2019-11-18,0.0005180235867826251,0.4018609882273456,0.6116244533160886
2019-11-19,-0.0009013025813854457,0.36512664005173423,0.6196596284514699
2019-11-20,0.00020394373614422289,0.34102111464559026,0.6308647568998645
2019-11-21,-0.0007024108716911513,0.30740572930040644,0.6423453906558627
2019-11-22,0.002316764095381138,0.2729638280324119,0.6615406109706283
2019-11-25,0.0011798615773976821,0.21537816708811508,0.6742207566078514
2019-11-26,0.0005519862334786424,0.17733773017644583,0.6806909289376684
2019-11-27,-0.0007947467740022356,0.15792721318699499,0.6727097728449154
2019-11-28,0.0,0.18187068146525387,0.6474260520031433
2019-11-29,-0.0005245433251657093,0.2577218439905702,0.6275754429450809
2019-12-02,-0.004271576478697749,0.31727367116475724,0.6085948298407804
2019-12-03,0.003588589950752829,0.3742155104776589,0.5908321980277859
2019-12-04,-0.0019198247376906348,0.4275034059166425,0.5912971382346573
2019-12-05,0.00010395652435216933,0.426108585296028,0.5810985374304638
2019-12-06,0.0009690016419222262,0.45670438770860866,0.5832984194888905
2019-12-09,0.0005878939284687364,0.4501047415333286,0.5650519549261706
2019-12-10,0.0017643620675942455,0.5048441352214884,0.5536893498475125
2019-12-11,-5.1579439616802395e-05,0.5389319504574626,0.547773481825651
2019-12-12,0.004996806268922545,0.5566795545230471,0.5621380988569336
2019-12-13,0.0019718544845142376,0.5135857034291994,0.5271884561145805
2019-12-16,0.0019108117720439256,0.6184346316562584,0.5415453924250008
2019-12-17,-0.0025666268062540915,0.5753638227249978,0.564848828479652
2019-12-18,-0.0011986297743861558,0.505453514561044,0.5412537308799314
2019-12-19,0.005648192468506983,0.5762388073602057,0.5668230332357572
2019-12-20,0.002710065359296008,0.4995309002927284,0.5812119355719002
2019-12-23,-0.00036111101462525403,0.45636419328429945,0.5841788458985505
2019-12-24,0.002605645486920407,0.4474634623043485,0.5734155046758338
2019-12-25,0.0,0.47975348597249867,0.5733397300467976
2019-12-26,0.004874034813678471,0.4799808098596072,0.5700709404365016
2019-12-27,-0.002973833472290249,0.48978717869049515,0.5951655926099102
2019-12-30,0.0003919372593572076,0.41450322217026947,0.5626648905756185
2019-12-31,0.010982566302190647,0.5120053282731445,0.5010341589535382
2020-01-01,0.0,0.6968975231393855,0.4702105119647845
2020-01-02,-0.0025227815833718907,0.7893684641056464,0.480346709863113
2020-01-03,0.002395705829587569,0.758959870410661,0.4754128976295335
2020-01-06,0.011342831133676349,0.7737613071113996,0.44756667443212317
2020-01-07,0.0028455454329646694,0.8572999767036306,0.47544600513573787
2020-01-08,0.00706975121770804,0.7736619845927865,0.48895155988386724
2020-01-09,-0.002967036196260916,0.7331453203483984,0.5036594940596081
2020-01-10,0.004037776146270598,0.6890215178211758,0.5080824697961033
2020-01-13,0.0021069360649917388,0.6757525906116902,0.5184463641039814
2020-01-14,0.000989916896926153,0.644660907688056,0.5394815591502539
2020-01-15,0.005911223706449407,0.5815553225492385,0.5098222468287733
2020-01-16,0.0037934837457483865,0.6705332595136801,0.5138480058630568
2020-01-17,0.004902216619256311,0.6584559824108297,0.5344878563132742
2020-01-20,0.0,0.5965364310601774,0.5414658523766785
2020-01-21,0.0065954470658878646,0.5756024428699644,0.5217250314132136
2020-01-22,0.004153306968599472,0.6348249057603593,0.5161253566679903
2020-01-23,-0.008538114882966536,0.6516239299960291,0.5085841056346238
2020-01-24,-0.011493951634247428,0.6742476830961288,0.47830220911964
2020-01-27,0.01063049502169795,0.76509337264108,0.4381214709751561
2020-01-28,0.017726369995306274,0.8856355870745318,0.34891819109385785
2020-01-29,0.0026321175764796,1.0,0.4080650087253241
2020-01-30,0.009201925737296926,0.9758049738240278,0.39630723178220223
